commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.CementPlant{NaturalGas},capacity,64.92486588716562
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.CementPlant{NaturalGas},capacity,100.44013825288476
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.CementPlant{NaturalGas},capacity,63.5942200182016
Cement,capacity,cement_produced,cement_MA,cement_MA_echem_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,15.579341298940738
Cement,capacity,cement_produced,cement_CT,cement_CT_echem_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,42.815028777917775
Cement,capacity,cement_produced,cement_ME,cement_ME_echem_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,14.565168792223865
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,capacity,2950.0006894808366
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,capacity,2000.0003912724667
Electricity,capacity,elec_MA,storage_MA,storage_MA_discharge_edge,Battery,capacity,5150.731853017175
Electricity,capacity,elec_CT,storage_CT,storage_CT_discharge_edge,Battery,capacity,2012.1258290566745
Electricity,capacity,elec_ME,storage_ME,storage_ME_discharge_edge,Battery,capacity,2885.3846198303286
Electricity,capacity,elec_MA,ng_MA,ng_MA_elec_edge,ThermalPower{NaturalGas},capacity,7963.9489275718915
Electricity,capacity,elec_CT,ng_CT,ng_CT_elec_edge,ThermalPower{NaturalGas},capacity,5709.12627307725
Electricity,capacity,elec_ME,ng_ME,ng_ME_elec_edge,ThermalPower{NaturalGas},capacity,5.205567765368404
Electricity,capacity,elec_MA,solar_pv_MA,solar_pv_MA_edge,VRE,capacity,0.139807408434036
Electricity,capacity,elec_CT,solar_pv_CT,solar_pv_CT_edge,VRE,capacity,0.14699906249540304
Electricity,capacity,elec_CT,onshore_wind_CT,onshore_wind_CT_edge,VRE,capacity,0.2648815474489926
Electricity,capacity,elec_ME,onshore_wind_ME,onshore_wind_ME_edge,VRE,capacity,0.23089472269758168
