commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.CementPlant{NaturalGas},capacity,66.02691745514329
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.CementPlant{NaturalGas},capacity,88.24826801603044
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.CementPlant{NaturalGas},capacity,65.81818491900066
Cement,capacity,cement_produced,cement_MA,cement_MA_echem_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,3.4987902606220054
Cement,capacity,cement_produced,cement_CT,cement_CT_echem_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,125.54368825899276
Cement,capacity,cement_produced,cement_ME,cement_ME_echem_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,4.988013232425706
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,capacity,2950.1804665623317
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,capacity,2000.660518849845
Electricity,capacity,elec_MA,storage_MA,storage_MA_discharge_edge,Battery,capacity,4771.519745096332
Electricity,capacity,elec_CT,storage_CT,storage_CT_discharge_edge,Battery,capacity,1791.6600435836222
Electricity,capacity,elec_ME,storage_ME,storage_ME_discharge_edge,Battery,capacity,3308.5943169561097
Electricity,capacity,elec_MA,ng_MA,ng_MA_elec_edge,ThermalPower{NaturalGas},capacity,7925.087036870825
Electricity,capacity,elec_CT,ng_CT,ng_CT_elec_edge,ThermalPower{NaturalGas},capacity,5926.771080430914
Electricity,capacity,elec_ME,ng_ME,ng_ME_elec_edge,ThermalPower{NaturalGas},capacity,3.141509126784353
Electricity,capacity,elec_MA,solar_pv_MA,solar_pv_MA_edge,VRE,capacity,0.09786536463588125
Electricity,capacity,elec_CT,solar_pv_CT,solar_pv_CT_edge,VRE,capacity,0.0990097660474679
Electricity,capacity,elec_CT,onshore_wind_CT,onshore_wind_CT_edge,VRE,capacity,0.17650059386108494
Electricity,capacity,elec_ME,onshore_wind_ME,onshore_wind_ME_edge,VRE,capacity,0.15376664872922224
