asset,type,capacity,additions,retirements
cement_MA,Macro.CementPlant{NaturalGas},82.25513340644429,0.7205881156937738,0.0
cement_CT,Macro.CementPlant{NaturalGas},98.96484674925341,0.8669719382326185,0.0
cement_ME,Macro.CementPlant{NaturalGas},85.29527564541901,0.7472209868192642,0.0
sorbent_dac_MA,ElectricDAC,0.1506078718908081,0.1506078718908081,0.0
sorbent_dac_CT,ElectricDAC,0.17149296160489497,0.17149296160489497,0.0
sorbent_dac_ME,ElectricDAC,0.24947043831989477,0.24947043831989477,0.0
cement_MA,Macro.ElectrochemCementPlant{CementMaterials},1.8297929848353607,0.016029723914457825,0.0
cement_CT,Macro.ElectrochemCementPlant{CementMaterials},200.69999090045837,1.7582127980767268,0.0
cement_ME,Macro.ElectrochemCementPlant{CementMaterials},246.94672490958942,2.1633528244379274,0.0
MA_to_CT,PowerLine,5899.969634702942,2949.9696347029417,0.0
MA_to_ME,PowerLine,3999.8608434852786,1999.8608434852783,0.0
storage_MA,Battery,1294.8732603270264,1294.8732603270264,0.0
storage_CT,Battery,1004.7237758060921,1004.7237758060921,0.0
storage_ME,Battery,155.4732355064679,155.4732355064679,0.0
ng_MA,ThermalPower{NaturalGas},10725.978074645227,42.903912298580906,0.0
ng_CT,ThermalPower{NaturalGas},7799.111553084365,31.196446212337463,0.0
ng_ME,ThermalPower{NaturalGas},43.48587568074851,0.17394350272299403,0.0
solar_pv_MA,VRE,3537.486741665924,3537.486741665924,0.0
solar_pv_CT,VRE,4117.891142053839,4117.891142053839,0.0
onshore_wind_CT,VRE,9381.490496550088,9381.490496550088,0.0
onshore_wind_ME,VRE,8097.305681883226,8097.305681883226,0.0
