elec_demand_MA,elec_demand_CT,elec_demand_ME
143917,106481,42147
151752,114986,45164
160514,117309,45071
162411,116780,44398
160120,114994,43093
154889,111210,40578
145699,104072,36917
134824,96496,33298
126381,90856,30777
121362,87988,29401
118737,86763,28777
118073,86777,28678
119365,88966,29423
125587,95097,31926
138581,105752,36605
147971,111941,39385
150577,111459,39870
150551,109667,40013
150114,107930,39917
149627,106048,39714
148465,104250,39464
147291,102057,39380
145550,102357,39222
144985,102794,39802
146805,107143,43100
154201,116208,46295
162392,118962,46340
163734,118040,45217
161276,116641,43472
156548,112614,41058
148273,105958,37482
138039,98314,33824
129961,92837,31333
124912,90099,29944
122492,88931,29281
122242,89069,29185
124294,91525,29885
131357,97761,32402
144838,108515,37069
154329,115114,39776
156525,114101,40302
154493,111123,40023
150808,108355,39765
147164,105289,39476
142650,102900,39042
138603,101271,38914
135614,99766,38641
133955,99449,39084
135393,103635,42232
143894,114135,45842
153306,117569,45920
156705,117507,44906
156431,116507,43327
153215,113167,40984
146148,106737,37410
137407,99374,33850
129948,94261,31355
125888,91787,30043
125030,90927,29361
125428,91394,29193
128120,93748,29902
135480,99966,32302
148869,110560,36882
158129,116411,39607
159535,115020,40110
154822,111329,40030
148620,107492,39814
142830,103979,39436
137806,100951,38906
133542,98722,38557
130833,97299,38286
129184,96713,38665
129913,100191,41656
137508,109836,44570
145821,111910,44257
147364,110938,42954
146113,109537,41318
143365,106993,39471
138331,102149,36678
130734,95321,33403
123062,90019,30866
118118,86673,29264
114805,85012,28425
113388,84363,28097
113144,84764,28311
115198,87295,29335
119726,91360,31290
125196,96077,33356
131563,99486,35485
134961,100741,36682
136030,99729,36999
133991,97500,36791
130557,94705,36264
127181,92828,35655
124673,91435,35397
123618,91443,35919
124426,95724,39325
130290,103318,42354
136290,104264,42352
136187,102420,41266
133366,100321,39877
129238,97418,38252
123680,92594,35905
115820,86380,33097
108316,80731,30706
102422,76939,29088
98931,74862,28153
96731,73757,27650
96269,73568,27655
97421,74782,28216
100540,77233,29556
105461,80954,31283
112191,84496,33657
118214,87460,35788
121626,88507,36979
122431,88818,37681
123766,89244,38201
124005,89389,38394
124205,89250,38494
123918,90100,39186
125567,94580,41993
131777,101405,44023
138122,102936,44027
137919,101681,42805
135275,99976,41118
130239,96483,38966
122126,90346,35797
112558,83788,32505
104170,78464,30075
99019,75530,28650
95883,74072,27922
94810,74290,27786
96056,76306,28437
101598,82031,30732
113983,92530,35216
123395,100007,38544
126542,101488,39709
129175,101778,40390
132042,102353,40949
134114,102221,41138
135019,101791,41091
135664,101568,41132
135339,101046,40941
134819,101433,41366
135675,105188,44081
141135,111675,46139
148165,112629,45758
149027,111369,44943
145844,109072,43390
139933,104479,40691
130958,97262,36985
119855,89179,33184
