asset,type,capacity,additions,retirements
cement_MA,Macro.CementPlant{NaturalGas},87.81705766131547,0.7693128135025447,0.0
cement_CT,Macro.CementPlant{NaturalGas},87.81957639077635,0.7693348785876158,0.0
cement_ME,Macro.CementPlant{NaturalGas},91.04876034687524,0.7976238313348685,0.0
sorbent_dac_MA,ElectricDAC,0.630139370115252,0.630139370115252,0.0
sorbent_dac_CT,ElectricDAC,1.103955741212034,1.103955741212034,0.0
sorbent_dac_ME,ElectricDAC,1277.3939259361464,1277.3939259361464,0.0
cement_MA,Macro.ElectrochemCementPlant{CementMaterials},3.849033216952223,0.03371908205827615,0.0
cement_CT,Macro.ElectrochemCementPlant{CementMaterials},245.30490352164878,2.1489698074607864,0.0
cement_ME,Macro.ElectrochemCementPlant{CementMaterials},247.3412639321804,2.1668091452665825,0.0
MA_to_CT,PowerLine,5899.571929237969,2949.571929237969,0.0
MA_to_ME,PowerLine,3999.9857041699715,1999.9857041699718,0.0
storage_MA,Battery,1773.6784535246875,1773.6784535246875,0.0
storage_CT,Battery,1453.2965035653592,1453.2965035653592,0.0
storage_ME,Battery,207.00979472233186,207.00979472233186,0.0
ng_MA,ThermalPower{NaturalGas},8024.556668887149,32.098226675548595,0.0
ng_CT,ThermalPower{NaturalGas},6787.129432200576,27.148517728802304,0.0
ng_ME,ThermalPower{NaturalGas},1370.2619070957853,5.481047628383141,0.0
solar_pv_MA,VRE,9612.372332596171,9612.372332596171,0.0
solar_pv_CT,VRE,4675.44662024933,4675.44662024933,0.0
onshore_wind_CT,VRE,10538.84861903982,10538.84861903982,0.0
onshore_wind_ME,VRE,16864.54953169468,16864.54953169468,0.0
