iter,LB,UB,runtime
1,5049.316772730356,1.1613903026469326e7,5.768316984176636
2,6296.278985624296,1.1613903026469326e7,15.533814907073975
3,6481.2078624325095,1.1613903026469326e7,27.475321054458618
4,6556.846612241083,3.0709997876115236e6,39.95949697494507
5,13500.822021273705,825786.5727487761,53.30954098701477
6,37638.874303087054,288453.30360933597,68.73847889900208
7,55963.080290890226,288453.30360933597,91.08289790153503
8,72214.01371720637,184570.5224974082,112.93536186218262
9,78870.49293157019,121215.26984561732,132.9681499004364
10,81952.86385709868,121215.26984561732,152.62488198280334
11,84258.0649707401,121215.26984561732,170.92301297187805
12,88697.96662130466,109137.49282141252,194.6415150165558
13,90503.48028466666,105971.75592151357,211.86735200881958
14,91767.48336923507,101824.72339284525,230.38306307792664
15,92286.42084890873,101824.72339284525,247.5890588760376
16,93120.15304796865,100326.22860173785,265.88842701911926
17,93605.65352024908,99219.0110226276,287.0956618785858
18,94110.39860579272,98168.28872002002,307.54656887054443
19,94354.38052314494,97445.55844328854,328.2758479118347
20,94663.55129484789,97058.41574828411,350.28031492233276
21,94877.44236897342,96710.7343192897,370.03683400154114
22,94972.75669421713,96232.19700489394,390.9526369571686
23,95099.64632715113,96043.84059021018,412.08224296569824
24,95214.23291052193,95826.29101566502,434.44114899635315
25,95284.88703907562,95729.88392185768,458.003839969635
26,95284.88703907562,95667.6545996973,483.8621189594269
27,95342.20711764623,95623.66052586553,507.6628339290619
28,95366.34565775859,95555.28695263137,531.6797978878021
29,95386.91206179046,95511.07359136533,557.1399319171906
30,95386.91206179046,95511.07359136533,582.1265540122986
31,95406.45699697275,95495.05018817307,606.3040339946747
