commodity,commodity_subtype,zone,resource_id,component_id,type,variable,period,value
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,capacity,1,18055.56997306925
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,capacity,1,6413.191600973034
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,capacity,1,14271.199667000003
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},capacity,1,191652.71886789022
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},capacity,1,124046.19012732699
Electricity,capacity,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},capacity,1,37993.22159409673
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,capacity,1,5900.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,capacity,1,4000.0
Electricity,capacity,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,capacity,1,95000.0
Electricity,capacity,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,capacity,1,95000.0
Electricity,capacity,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,capacity,1,45000.0
Electricity,capacity,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,capacity,1,55000.0
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,new_capacity,1,18055.56997306925
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,new_capacity,1,6413.191600973034
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,new_capacity,1,14271.199667000003
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},new_capacity,1,191652.71886789022
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},new_capacity,1,124046.19012732699
Electricity,capacity,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},new_capacity,1,37993.22159409673
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,new_capacity,1,2950.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,new_capacity,1,2000.0
Electricity,capacity,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,new_capacity,1,95000.0
Electricity,capacity,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,new_capacity,1,95000.0
Electricity,capacity,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,new_capacity,1,45000.0
Electricity,capacity,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,new_capacity,1,55000.0
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,retired_capacity,1,0.0
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,retired_capacity,1,0.0
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,retired_capacity,1,0.0
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},retired_capacity,1,0.0
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},retired_capacity,1,0.0
Electricity,capacity,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},retired_capacity,1,0.0
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,retired_capacity,1,0.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,retired_capacity,1,0.0
Electricity,capacity,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,retired_capacity,1,0.0
Electricity,capacity,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,retired_capacity,1,0.0
Electricity,capacity,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,retired_capacity,1,0.0
Electricity,capacity,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,retired_capacity,1,0.0
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,capacity,2,388303.2841723438
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,capacity,2,101399.07929226347
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,capacity,2,16085.018454999998
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},capacity,2,78965.95700030137
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},capacity,2,38456.82556042606
Electricity,capacity,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},capacity,2,37912.42761662311
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,capacity,2,7000.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,capacity,2,5000.0
Electricity,capacity,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,capacity,2,1.348705377592963e6
Electricity,capacity,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,capacity,2,617916.7061323671
Electricity,capacity,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,capacity,2,45000.0
Electricity,capacity,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,capacity,2,55000.0
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,new_capacity,2,370247.71419927455
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,new_capacity,2,94985.88769129044
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,new_capacity,2,1813.818787999995
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},new_capacity,2,0.0
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},new_capacity,2,0.0
Electricity,capacity,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},new_capacity,2,0.0
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,new_capacity,2,1100.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,new_capacity,2,1000.0
Electricity,capacity,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,new_capacity,2,1.253705377592963e6
Electricity,capacity,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,new_capacity,2,522916.70613236714
Electricity,capacity,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,new_capacity,2,0.0
Electricity,capacity,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,new_capacity,2,0.0
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,retired_capacity,2,0.0
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,retired_capacity,2,0.0
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,retired_capacity,2,0.0
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},retired_capacity,2,112686.76186758885
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},retired_capacity,2,85589.36456690093
