H2_Pipelines,z1,z2,z3,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,H2PipeCompCapex,H2PipeCompEnergy
1,1,-1,0,1000,0,20,90608.46497,491.4512001,0.36,0,31,5.07E+04,0.15,225783.9223,0.289
2,-1,1,0,1000,0,20,90608.46497,491.4512001,0.36,0,31,5.07E+04,0.15,225783.9223,0.289
3,0,1,-1,1000,0,20,90608.46497,473.6625536,0.36,0,31,5.07E+04,0.15,225783.9223,0.289
4,0,-1,1,1000,0,20,90608.46497,473.6625536,0.36,0,31,5.07E+04,0.15,225783.9223,0.289
,,,,,,,,,,,,,,,
,START,END,existing_capacity,distance,capacity_size,max_discharge_capacity,investment_cost,electricity_consumption,max_storage_duration,,,,,,
1,SE,MIDAT,0,491.4512001,666.6,666600,91255.07,0.080017692,8.846121602,,,,,,
2,MIDAT,SE,0,491.4512001,666.6,666600,91255.07,0.080017692,8.846121602,,,,,,
3,MIDAT,NE,0,473.6625536,666.6,666600,87964.25,0.077435211,8.525925965,,,,,,
4,NE,MIDAT,0,473.6625536,666.6,666600,87964.25,0.077435211,8.525925965,,,,,,
