Time_Index,natgas_SE,natgas_MIDAT,natgas_NE,uranium_source,biomass_40,biomass_60,biomass_80
1,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
2,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
3,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
4,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
5,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
6,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
7,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
8,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
9,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
10,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
11,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
12,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
13,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
14,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
15,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
16,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
17,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
18,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
19,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
20,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
21,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
22,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
23,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
24,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
25,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
26,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
27,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
28,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
29,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
30,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
31,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
32,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
33,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
34,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
35,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
36,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
37,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
38,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
39,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
40,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
41,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
42,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
43,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
44,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
45,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
46,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
47,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
48,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
49,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
50,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
51,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
52,12.55668122,12.21546705,15.01342319,2.490863394,40,60,80
