Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3
69,195905,131445,46281,17408.259,8876.7789,2571.0762
70,192350,127076,43770,17408.259,8876.7789,2571.0762
71,185262,120730,40467,17408.259,8876.7789,2571.0762
72,177743,113955,37303,17408.259,8876.7789,2571.0762
73,172940,109498,35194,17408.259,8876.7789,2571.0762
74,171628,107088,34077,17408.259,8876.7789,2571.0762
75,172454,106460,33430,17408.259,8876.7789,2571.0762
76,174542,106816,33256,17408.259,8876.7789,2571.0762
77,179240,108901,33909,17408.259,8876.7789,2571.0762
78,189386,114730,36207,17408.259,8876.7789,2571.0762
79,204604,124281,40819,17408.259,8876.7789,2571.0762
80,213023,129774,43642,17408.259,8876.7789,2571.0762
81,207678,128819,43950,17408.259,8876.7789,2571.0762
82,195542,126629,44259,17408.259,8876.7789,2571.0762
83,182753,124627,44355,17408.259,8876.7789,2571.0762
84,170965,122036,44051,17408.259,8876.7789,2571.0762
85,160886,119724,43612,17408.259,8876.7789,2571.0762
86,152984,117832,43401,17408.259,8876.7789,2571.0762
87,146634,116089,43081,17408.259,8876.7789,2571.0762
88,143657,116045,43449,17408.259,8876.7789,2571.0762
89,145527,119091,46067,17408.259,8876.7789,2571.0762
90,156397,126630,48785,17408.259,8876.7789,2571.0762
91,171513,128753,48671,17408.259,8876.7789,2571.0762
92,174731,126841,47356,17408.259,8876.7789,2571.0762
93,174353,124128,45393,17408.259,8876.7789,2571.0762
94,170450,119270,42633,17408.259,8876.7789,2571.0762
95,162623,111470,39089,17408.259,8876.7789,2571.0762
96,153886,104075,35604,17408.259,8876.7789,2571.0762
97,147603,98493,33240,17408.259,8876.7789,2571.0762
98,145864,95645,31901,17408.259,8876.7789,2571.0762
99,145574,94097,31191,17408.259,8876.7789,2571.0762
100,147441,93875,30950,17408.259,8876.7789,2571.0762
101,151578,95683,31518,17408.259,8876.7789,2571.0762
102,161486,101191,33697,17408.259,8876.7789,2571.0762
103,178259,111083,38092,17408.259,8876.7789,2571.0762
104,186863,117644,41168,17408.259,8876.7789,2571.0762
105,181220,117227,41807,17408.259,8876.7789,2571.0762
106,169115,115174,42127,17408.259,8876.7789,2571.0762
107,157110,112935,42079,17408.259,8876.7789,2571.0762
108,147658,110453,41752,17408.259,8876.7789,2571.0762
109,140356,108343,41421,17408.259,8876.7789,2571.0762
110,135497,106767,41341,17408.259,8876.7789,2571.0762
111,131391,105238,41091,17408.259,8876.7789,2571.0762
112,128819,104340,41342,17408.259,8876.7789,2571.0762
113,129898,107071,43618,17408.259,8876.7789,2571.0762
114,137862,115195,46656,17408.259,8876.7789,2571.0762
115,151104,118937,46558,17408.259,8876.7789,2571.0762
116,153842,118385,45326,17408.259,8876.7789,2571.0762
117,153444,116311,43447,17408.259,8876.7789,2571.0762
118,149867,112147,40837,17408.259,8876.7789,2571.0762
119,143118,105847,37438,17408.259,8876.7789,2571.0762
120,135583,98697,34236,17408.259,8876.7789,2571.0762
121,130406,93739,32017,17408.259,8876.7789,2571.0762
122,128328,91112,30696,17408.259,8876.7789,2571.0762
123,128517,89760,30019,17408.259,8876.7789,2571.0762
124,130129,89495,29771,17408.259,8876.7789,2571.0762
125,134603,91305,30322,17408.259,8876.7789,2571.0762
126,144249,96555,32505,17408.259,8876.7789,2571.0762
127,160790,106168,36847,17408.259,8876.7789,2571.0762
128,170327,112052,39694,17408.259,8876.7789,2571.0762
129,165797,110991,40153,17408.259,8876.7789,2571.0762
130,156023,108281,40301,17408.259,8876.7789,2571.0762
131,146273,105784,40271,17408.259,8876.7789,2571.0762
132,138551,103196,39930,17408.259,8876.7789,2571.0762
133,132827,100775,39482,17408.259,8876.7789,2571.0762
134,129017,99113,39165,17408.259,8876.7789,2571.0762
135,125620,97310,38726,17408.259,8876.7789,2571.0762
136,123198,95980,38906,17408.259,8876.7789,2571.0762
137,123115,97125,40838,17408.259,8876.7789,2571.0762
138,128605,103913,43477,17408.259,8876.7789,2571.0762
139,138475,106539,43127,17408.259,8876.7789,2571.0762
140,137629,104885,41675,17408.259,8876.7789,2571.0762
141,135331,102694,39872,17408.259,8876.7789,2571.0762
142,132067,99675,37884,17408.259,8876.7789,2571.0762
143,127095,94951,35181,17408.259,8876.7789,2571.0762
144,119980,89207,32327,17408.259,8876.7789,2571.0762
145,114161,84632,30071,17408.259,8876.7789,2571.0762
146,110388,81448,28660,17408.259,8876.7789,2571.0762
147,108471,79764,27830,17408.259,8876.7789,2571.0762
148,107781,79220,27457,17408.259,8876.7789,2571.0762
149,108842,79838,27594,17408.259,8876.7789,2571.0762
150,111939,82169,28467,17408.259,8876.7789,2571.0762
151,117165,85984,30095,17408.259,8876.7789,2571.0762
152,122809,90203,31811,17408.259,8876.7789,2571.0762
153,127409,92906,33689,17408.259,8876.7789,2571.0762
154,129304,93900,35036,17408.259,8876.7789,2571.0762
155,128053,93531,35604,17408.259,8876.7789,2571.0762
156,125617,92321,35551,17408.259,8876.7789,2571.0762
157,122980,90463,35157,17408.259,8876.7789,2571.0762
158,120091,88612,34625,17408.259,8876.7789,2571.0762
159,117791,87019,34219,17408.259,8876.7789,2571.0762
160,116745,86336,34499,17408.259,8876.7789,2571.0762
161,116919,88125,36601,17408.259,8876.7789,2571.0762
162,121744,95431,39571,17408.259,8876.7789,2571.0762
163,130550,98837,39583,17408.259,8876.7789,2571.0762
164,129160,97623,38343,17408.259,8876.7789,2571.0762
165,125976,96035,36894,17408.259,8876.7789,2571.0762
166,121936,93382,35299,17408.259,8876.7789,2571.0762
167,116797,89903,33229,17408.259,8876.7789,2571.0762
168,110170,85388,30931,17408.259,8876.7789,2571.0762
169,104337,81372,28957,17408.259,8876.7789,2571.0762
170,100884,79103,27715,17408.259,8876.7789,2571.0762
171,99237,77863,26910,17408.259,8876.7789,2571.0762
172,98973,77691,26590,17408.259,8876.7789,2571.0762
173,100058,78297,26655,17408.259,8876.7789,2571.0762
174,102709,80288,27280,17408.259,8876.7789,2571.0762
175,107571,83440,28539,17408.259,8876.7789,2571.0762
176,113698,87076,29878,17408.259,8876.7789,2571.0762
177,120356,90261,31686,17408.259,8876.7789,2571.0762
178,123336,91749,33384,17408.259,8876.7789,2571.0762
179,122726,91375,34483,17408.259,8876.7789,2571.0762
180,120597,90398,35050,17408.259,8876.7789,2571.0762
181,120152,89981,35409,17408.259,8876.7789,2571.0762
182,119939,89411,35476,17408.259,8876.7789,2571.0762
183,119102,88426,35432,17408.259,8876.7789,2571.0762
184,118320,88770,35814,17408.259,8876.7789,2571.0762
185,119957,92178,38216,17408.259,8876.7789,2571.0762
186,125497,100640,41526,17408.259,8876.7789,2571.0762
187,134113,104566,41672,17408.259,8876.7789,2571.0762
188,133330,104541,40969,17408.259,8876.7789,2571.0762
189,130945,104017,39763,17408.259,8876.7789,2571.0762
190,125919,101074,37699,17408.259,8876.7789,2571.0762
191,117802,95983,34915,17408.259,8876.7789,2571.0762
192,109380,90850,32274,17408.259,8876.7789,2571.0762
193,102513,87108,30437,17408.259,8876.7789,2571.0762
194,98931,85252,29358,17408.259,8876.7789,2571.0762
195,97609,84654,28836,17408.259,8876.7789,2571.0762
196,97730,84930,28826,17408.259,8876.7789,2571.0762
197,100439,87495,29522,17408.259,8876.7789,2571.0762
198,108464,93901,31985,17408.259,8876.7789,2571.0762
199,123706,104802,36719,17408.259,8876.7789,2571.0762
200,133848,111775,39762,17408.259,8876.7789,2571.0762
201,133399,112051,40268,17408.259,8876.7789,2571.0762
202,133395,111131,40554,17408.259,8876.7789,2571.0762
203,134354,110551,40714,17408.259,8876.7789,2571.0762
204,134774,109436,40463,17408.259,8876.7789,2571.0762
205,134291,108111,40011,17408.259,8876.7789,2571.0762
206,133713,107107,39724,17408.259,8876.7789,2571.0762
207,132567,106167,39291,17408.259,8876.7789,2571.0762
208,131956,106221,39473,17408.259,8876.7789,2571.0762
209,132995,108716,41620,17408.259,8876.7789,2571.0762
210,138097,115422,45082,17408.259,8876.7789,2571.0762
211,146456,117749,44957,17408.259,8876.7789,2571.0762
212,146070,116825,43999,17408.259,8876.7789,2571.0762
213,141362,114497,42385,17408.259,8876.7789,2571.0762
214,133704,109787,39690,17408.259,8876.7789,2571.0762
215,125226,102902,36254,17408.259,8876.7789,2571.0762
216,115747,95854,33025,17408.259,8876.7789,2571.0762
217,108540,90765,30795,17408.259,8876.7789,2571.0762
218,103975,88202,29492,17408.259,8876.7789,2571.0762
219,101821,86940,28857,17408.259,8876.7789,2571.0762
220,101451,87208,28705,17408.259,8876.7789,2571.0762
221,103679,89415,29373,17408.259,8876.7789,2571.0762
222,111031,95690,31723,17408.259,8876.7789,2571.0762
223,125520,106524,36423,17408.259,8876.7789,2571.0762
224,134747,113281,39301,17408.259,8876.7789,2571.0762
225,134281,112585,39872,17408.259,8876.7789,2571.0762
226,133752,109978,40217,17408.259,8876.7789,2571.0762
227,133895,107421,40258,17408.259,8876.7789,2571.0762
228,133092,105040,40033,17408.259,8876.7789,2571.0762
229,132397,102761,39635,17408.259,8876.7789,2571.0762
230,131641,101424,39459,17408.259,8876.7789,2571.0762
231,131192,99884,39219,17408.259,8876.7789,2571.0762
232,130497,99332,39638,17408.259,8876.7789,2571.0762
233,131896,101642,41833,17408.259,8876.7789,2571.0762
234,138146,109136,44687,17408.259,8876.7789,2571.0762
235,146175,113187,44536,17408.259,8876.7789,2571.0762
236,145603,112802,43242,17408.259,8876.7789,2571.0762
237,141645,111037,41382,17408.259,8876.7789,2571.0762
238,135308,107565,38872,17408.259,8876.7789,2571.0762
239,125074,101236,35535,17408.259,8876.7789,2571.0762
240,115120,94989,32454,17408.259,8876.7789,2571.0762
241,107832,90685,30392,17408.259,8876.7789,2571.0762
242,103079,88602,29295,17408.259,8876.7789,2571.0762
243,100599,87722,28749,17408.259,8876.7789,2571.0762
244,99653,88095,28728,17408.259,8876.7789,2571.0762
245,100794,90308,29439,17408.259,8876.7789,2571.0762
246,107544,96297,31918,17408.259,8876.7789,2571.0762
247,121302,106752,36694,17408.259,8876.7789,2571.0762
248,131062,113056,39513,17408.259,8876.7789,2571.0762
249,131480,112041,39914,17408.259,8876.7789,2571.0762
250,132060,110299,39942,17408.259,8876.7789,2571.0762
251,133492,108953,39850,17408.259,8876.7789,2571.0762
252,134224,107674,39509,17408.259,8876.7789,2571.0762
253,133883,106462,39106,17408.259,8876.7789,2571.0762
254,133105,105963,38966,17408.259,8876.7789,2571.0762
255,131961,105306,38769,17408.259,8876.7789,2571.0762
256,131496,105454,39069,17408.259,8876.7789,2571.0762
257,133305,108248,41312,17408.259,8876.7789,2571.0762
258,138633,113648,44463,17408.259,8876.7789,2571.0762
259,146916,114938,44447,17408.259,8876.7789,2571.0762
260,145775,112973,43175,17408.259,8876.7789,2571.0762
261,142120,110191,41338,17408.259,8876.7789,2571.0762
262,136579,105322,38683,17408.259,8876.7789,2571.0762
263,127725,98195,35295,17408.259,8876.7789,2571.0762
264,118073,91053,32172,17408.259,8876.7789,2571.0762
265,110866,85866,30093,17408.259,8876.7789,2571.0762
266,107171,82669,28913,17408.259,8876.7789,2571.0762
267,105512,80987,28290,17408.259,8876.7789,2571.0762
268,105566,80609,28170,17408.259,8876.7789,2571.0762
269,107933,82191,28797,17408.259,8876.7789,2571.0762
270,115887,87638,31086,17408.259,8876.7789,2571.0762
271,131079,98037,35496,17408.259,8876.7789,2571.0762
272,140772,104867,38809,17408.259,8876.7789,2571.0762
273,139748,105289,40032,17408.259,8876.7789,2571.0762
274,138360,104749,40703,17408.259,8876.7789,2571.0762
275,137999,105025,41131,17408.259,8876.7789,2571.0762
276,137375,104775,41306,17408.259,8876.7789,2571.0762
277,136880,104189,41248,17408.259,8876.7789,2571.0762
278,136582,103493,41176,17408.259,8876.7789,2571.0762
279,136391,102687,40825,17408.259,8876.7789,2571.0762
280,136726,102619,40931,17408.259,8876.7789,2571.0762
281,138953,104823,42756,17408.259,8876.7789,2571.0762
282,145560,110900,44988,17408.259,8876.7789,2571.0762
283,156528,113586,44700,17408.259,8876.7789,2571.0762
284,158223,112453,43217,17408.259,8876.7789,2571.0762
285,156506,110589,41259,17408.259,8876.7789,2571.0762
286,151549,106792,38634,17408.259,8876.7789,2571.0762
287,143592,100948,35286,17408.259,8876.7789,2571.0762
288,135095,94680,32146,17408.259,8876.7789,2571.0762
289,128942,90350,29936,17408.259,8876.7789,2571.0762
290,126760,88073,28725,17408.259,8876.7789,2571.0762
291,126842,87478,28086,17408.259,8876.7789,2571.0762
292,128195,88157,27868,17408.259,8876.7789,2571.0762
293,132248,90710,28378,17408.259,8876.7789,2571.0762
294,141877,97162,30645,17408.259,8876.7789,2571.0762
295,158016,107644,35153,17408.259,8876.7789,2571.0762
296,169105,115571,38406,17408.259,8876.7789,2571.0762
297,169655,116971,39318,17408.259,8876.7789,2571.0762
298,167667,117800,39982,17408.259,8876.7789,2571.0762
299,165395,118646,40442,17408.259,8876.7789,2571.0762
300,161376,118622,40594,17408.259,8876.7789,2571.0762
301,157010,117939,40536,17408.259,8876.7789,2571.0762
302,152780,116953,40614,17408.259,8876.7789,2571.0762
303,149135,115876,40480,17408.259,8876.7789,2571.0762
304,146731,115532,40897,17408.259,8876.7789,2571.0762
305,148422,117442,42949,17408.259,8876.7789,2571.0762
306,156118,123798,45584,17408.259,8876.7789,2571.0762
307,167095,125578,45427,17408.259,8876.7789,2571.0762
308,167719,123148,43965,17408.259,8876.7789,2571.0762
309,166218,120728,42203,17408.259,8876.7789,2571.0762
310,162190,116948,40107,17408.259,8876.7789,2571.0762
311,156388,111654,37405,17408.259,8876.7789,2571.0762
312,150193,105521,34623,17408.259,8876.7789,2571.0762
313,144740,100916,32481,17408.259,8876.7789,2571.0762
314,142352,98134,31136,17408.259,8876.7789,2571.0762
315,141992,96752,30271,17408.259,8876.7789,2571.0762
316,142976,96113,29938,17408.259,8876.7789,2571.0762
317,146173,96682,30099,17408.259,8876.7789,2571.0762
318,151352,98913,30927,17408.259,8876.7789,2571.0762
319,159436,102697,32685,17408.259,8876.7789,2571.0762
320,167639,106944,34505,17408.259,8876.7789,2571.0762
321,173116,109939,36580,17408.259,8876.7789,2571.0762
322,170598,111325,38238,17408.259,8876.7789,2571.0762
323,164166,111184,38992,17408.259,8876.7789,2571.0762
324,155834,109763,39103,17408.259,8876.7789,2571.0762
325,147974,107703,38780,17408.259,8876.7789,2571.0762
326,140994,105648,38402,17408.259,8876.7789,2571.0762
327,135800,104047,38089,17408.259,8876.7789,2571.0762
328,133152,103834,38344,17408.259,8876.7789,2571.0762
329,134375,106484,40362,17408.259,8876.7789,2571.0762
330,141511,112938,43566,17408.259,8876.7789,2571.0762
331,154186,116186,43821,17408.259,8876.7789,2571.0762
332,156129,115067,42702,17408.259,8876.7789,2571.0762
333,156019,113343,41196,17408.259,8876.7789,2571.0762
334,153959,110872,39682,17408.259,8876.7789,2571.0762
335,149829,106610,37760,17408.259,8876.7789,2571.0762
336,143901,101661,35487,17408.259,8876.7789,2571.0762
337,138950,97448,33513,17408.259,8876.7789,2571.0762
338,136884,95151,32329,17408.259,8876.7789,2571.0762
339,136300,93686,31634,17408.259,8876.7789,2571.0762
340,137452,93496,31454,17408.259,8876.7789,2571.0762
341,139773,94237,31650,17408.259,8876.7789,2571.0762
342,144226,96328,32350,17408.259,8876.7789,2571.0762
343,151024,99735,33727,17408.259,8876.7789,2571.0762
344,159359,103599,35132,17408.259,8876.7789,2571.0762
345,164929,106309,37096,17408.259,8876.7789,2571.0762
346,160076,107281,38724,17408.259,8876.7789,2571.0762
347,150320,106491,39750,17408.259,8876.7789,2571.0762
348,141251,105060,40206,17408.259,8876.7789,2571.0762
349,134723,103797,40310,17408.259,8876.7789,2571.0762
350,129585,102070,40087,17408.259,8876.7789,2571.0762
351,125108,100587,39844,17408.259,8876.7789,2571.0762
352,122899,100449,40066,17408.259,8876.7789,2571.0762
353,123753,103558,42015,17408.259,8876.7789,2571.0762
354,130766,111726,45273,17408.259,8876.7789,2571.0762
355,144271,116767,45573,17408.259,8876.7789,2571.0762
356,147444,116787,44703,17408.259,8876.7789,2571.0762
357,148714,116223,43703,17408.259,8876.7789,2571.0762
358,146595,113524,41845,17408.259,8876.7789,2571.0762
359,142798,109615,39537,17408.259,8876.7789,2571.0762
360,137805,105283,37050,17408.259,8876.7789,2571.0762
361,133756,101936,35143,17408.259,8876.7789,2571.0762
362,132336,100065,33957,17408.259,8876.7789,2571.0762
363,132220,99646,33355,17408.259,8876.7789,2571.0762
364,133422,100287,33263,17408.259,8876.7789,2571.0762
365,136562,102411,33811,17408.259,8876.7789,2571.0762
366,143136,107238,35502,17408.259,8876.7789,2571.0762
367,152547,114471,38408,17408.259,8876.7789,2571.0762
368,160497,119837,40781,17408.259,8876.7789,2571.0762
369,162090,120856,42406,17408.259,8876.7789,2571.0762
370,159037,119554,43650,17408.259,8876.7789,2571.0762
371,154461,118043,44243,17408.259,8876.7789,2571.0762
372,149309,116027,44058,17408.259,8876.7789,2571.0762
373,144680,113504,43536,17408.259,8876.7789,2571.0762
374,140415,111810,43095,17408.259,8876.7789,2571.0762
375,137408,110721,42581,17408.259,8876.7789,2571.0762
376,135283,110517,42588,17408.259,8876.7789,2571.0762
377,135454,112666,44261,17408.259,8876.7789,2571.0762
378,141196,118701,47225,17408.259,8876.7789,2571.0762
379,150310,119802,46924,17408.259,8876.7789,2571.0762
380,150341,118175,45847,17408.259,8876.7789,2571.0762
381,146785,115020,43982,17408.259,8876.7789,2571.0762
382,139757,109698,41179,17408.259,8876.7789,2571.0762
383,131097,102803,37862,17408.259,8876.7789,2571.0762
384,121612,95620,34598,17408.259,8876.7789,2571.0762
385,114006,90002,32286,17408.259,8876.7789,2571.0762
386,110178,86835,30881,17408.259,8876.7789,2571.0762
387,108514,85212,30147,17408.259,8876.7789,2571.0762
388,108875,84859,29943,17408.259,8876.7789,2571.0762
389,111631,86486,30534,17408.259,8876.7789,2571.0762
390,119396,92045,32693,17408.259,8876.7789,2571.0762
391,134732,101864,37059,17408.259,8876.7789,2571.0762
392,144017,108273,40042,17408.259,8876.7789,2571.0762
393,141576,108890,40745,17408.259,8876.7789,2571.0762
394,138165,108661,41071,17408.259,8876.7789,2571.0762
395,136458,108601,41328,17408.259,8876.7789,2571.0762
396,134880,108233,41377,17408.259,8876.7789,2571.0762
397,133327,107232,41378,17408.259,8876.7789,2571.0762
398,132146,106314,41381,17408.259,8876.7789,2571.0762
399,130466,104901,41266,17408.259,8876.7789,2571.0762
400,129339,103576,41504,17408.259,8876.7789,2571.0762
401,130525,105382,43193,17408.259,8876.7789,2571.0762
402,135443,111516,45508,17408.259,8876.7789,2571.0762
403,144011,113792,45093,17408.259,8876.7789,2571.0762
404,144475,112225,43673,17408.259,8876.7789,2571.0762
405,140598,109693,41547,17408.259,8876.7789,2571.0762
406,134391,105252,38906,17408.259,8876.7789,2571.0762
407,125576,98786,35544,17408.259,8876.7789,2571.0762
408,116275,92061,32377,17408.259,8876.7789,2571.0762
409,109320,87103,30219,17408.259,8876.7789,2571.0762
410,106271,84795,29012,17408.259,8876.7789,2571.0762
411,105127,84025,28343,17408.259,8876.7789,2571.0762
412,105981,84601,28188,17408.259,8876.7789,2571.0762
413,109165,86918,28949,17408.259,8876.7789,2571.0762
414,117803,93334,31479,17408.259,8876.7789,2571.0762
415,134110,104350,36263,17408.259,8876.7789,2571.0762
416,145356,111489,39234,17408.259,8876.7789,2571.0762
417,145244,111784,39931,17408.259,8876.7789,2571.0762
418,144747,111527,40417,17408.259,8876.7789,2571.0762
419,144151,111382,40782,17408.259,8876.7789,2571.0762
420,142388,110704,40854,17408.259,8876.7789,2571.0762
421,139895,109909,40700,17408.259,8876.7789,2571.0762
422,137733,109088,40705,17408.259,8876.7789,2571.0762
423,136049,108182,40538,17408.259,8876.7789,2571.0762
424,134934,108283,40884,17408.259,8876.7789,2571.0762
425,136892,111384,42884,17408.259,8876.7789,2571.0762
426,143858,118957,46607,17408.259,8876.7789,2571.0762
427,156405,123446,47084,17408.259,8876.7789,2571.0762
428,158589,123087,46028,17408.259,8876.7789,2571.0762
429,156630,121065,44235,17408.259,8876.7789,2571.0762
430,152155,117238,41808,17408.259,8876.7789,2571.0762
431,144962,111341,38594,17408.259,8876.7789,2571.0762
432,136404,105019,35535,17408.259,8876.7789,2571.0762
433,130377,100672,33505,17408.259,8876.7789,2571.0762
434,128045,98820,32449,17408.259,8876.7789,2571.0762
435,127988,98032,31947,17408.259,8876.7789,2571.0762
436,129573,98669,31893,17408.259,8876.7789,2571.0762
437,133703,101392,32665,17408.259,8876.7789,2571.0762
438,143852,107951,35168,17408.259,8876.7789,2571.0762
439,161387,118930,40035,17408.259,8876.7789,2571.0762
440,172256,125296,42863,17408.259,8876.7789,2571.0762
441,169370,124109,43295,17408.259,8876.7789,2571.0762
442,162489,121081,43331,17408.259,8876.7789,2571.0762
443,155714,119031,43331,17408.259,8876.7789,2571.0762
444,149342,116643,42988,17408.259,8876.7789,2571.0762
445,143573,114640,42548,17408.259,8876.7789,2571.0762
446,139429,113271,42273,17408.259,8876.7789,2571.0762
447,136300,112180,41986,17408.259,8876.7789,2571.0762
448,134400,112310,42370,17408.259,8876.7789,2571.0762
449,135349,115109,44297,17408.259,8876.7789,2571.0762
450,140728,121257,47189,17408.259,8876.7789,2571.0762
451,152260,124637,47132,17408.259,8876.7789,2571.0762
452,154542,123581,45983,17408.259,8876.7789,2571.0762
453,152354,121344,43960,17408.259,8876.7789,2571.0762
454,147442,117086,41346,17408.259,8876.7789,2571.0762
455,139328,109984,38006,17408.259,8876.7789,2571.0762
456,130215,103300,34775,17408.259,8876.7789,2571.0762
457,123226,98646,32623,17408.259,8876.7789,2571.0762
458,120072,96171,31344,17408.259,8876.7789,2571.0762
459,118793,95233,30707,17408.259,8876.7789,2571.0762
460,119175,95479,30562,17408.259,8876.7789,2571.0762
461,121891,97896,31282,17408.259,8876.7789,2571.0762
462,129622,103946,33573,17408.259,8876.7789,2571.0762
463,144500,114107,38203,17408.259,8876.7789,2571.0762
464,153477,120790,41058,17408.259,8876.7789,2571.0762
465,150763,120880,41704,17408.259,8876.7789,2571.0762
466,146142,120012,42096,17408.259,8876.7789,2571.0762
467,142711,119111,42282,17408.259,8876.7789,2571.0762
468,139581,117441,42203,17408.259,8876.7789,2571.0762
469,136873,115820,41846,17408.259,8876.7789,2571.0762
470,135586,114636,41604,17408.259,8876.7789,2571.0762
471,134019,113543,41181,17408.259,8876.7789,2571.0762
472,133206,113431,41245,17408.259,8876.7789,2571.0762
473,133720,115333,42862,17408.259,8876.7789,2571.0762
474,137061,121038,46012,17408.259,8876.7789,2571.0762
475,142927,122859,46037,17408.259,8876.7789,2571.0762
476,141380,120740,44703,17408.259,8876.7789,2571.0762
477,137047,118051,43042,17408.259,8876.7789,2571.0762
478,131735,114284,41072,17408.259,8876.7789,2571.0762
479,124890,108877,38463,17408.259,8876.7789,2571.0762
480,116896,102808,35639,17408.259,8876.7789,2571.0762
481,109544,98101,33531,17408.259,8876.7789,2571.0762
482,104880,95213,32176,17408.259,8876.7789,2571.0762
483,102228,93616,31408,17408.259,8876.7789,2571.0762
484,100932,92925,31092,17408.259,8876.7789,2571.0762
485,101461,93391,31277,17408.259,8876.7789,2571.0762
486,104096,95258,32115,17408.259,8876.7789,2571.0762
487,108837,98494,33836,17408.259,8876.7789,2571.0762
488,114799,102837,35901,17408.259,8876.7789,2571.0762
489,120926,106393,38190,17408.259,8876.7789,2571.0762
490,126439,110225,40236,17408.259,8876.7789,2571.0762
491,130350,112553,41529,17408.259,8876.7789,2571.0762
492,131407,113004,42017,17408.259,8876.7789,2571.0762
493,131403,112157,41929,17408.259,8876.7789,2571.0762
494,130088,110588,41558,17408.259,8876.7789,2571.0762
495,128562,108951,41131,17408.259,8876.7789,2571.0762
