Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3
1,108217,83549,30118,17408.259,8876.7789,2571.0762
2,105797,79189,28598,17408.259,8876.7789,2571.0762
3,103262,77202,27261,17408.259,8876.7789,2571.0762
4,101779,76236,26528,17408.259,8876.7789,2571.0762
5,101506,76251,26317,17408.259,8876.7789,2571.0762
6,102712,77315,26656,17408.259,8876.7789,2571.0762
7,105603,79426,27516,17408.259,8876.7789,2571.0762
8,108719,81362,28190,17408.259,8876.7789,2571.0762
9,113294,83036,29343,17408.259,8876.7789,2571.0762
10,116022,83624,30692,17408.259,8876.7789,2571.0762
11,115901,83917,31724,17408.259,8876.7789,2571.0762
12,115374,84247,32324,17408.259,8876.7789,2571.0762
13,115827,84850,32785,17408.259,8876.7789,2571.0762
14,115552,85135,32905,17408.259,8876.7789,2571.0762
15,114368,85054,32806,17408.259,8876.7789,2571.0762
16,112969,85672,33100,17408.259,8876.7789,2571.0762
17,113156,89270,35660,17408.259,8876.7789,2571.0762
18,118123,95912,38531,17408.259,8876.7789,2571.0762
19,126673,98036,38412,17408.259,8876.7789,2571.0762
20,126460,97518,37629,17408.259,8876.7789,2571.0762
21,124246,96519,36541,17408.259,8876.7789,2571.0762
22,120588,93789,34883,17408.259,8876.7789,2571.0762
23,115874,90074,32744,17408.259,8876.7789,2571.0762
24,109796,85527,30224,17408.259,8876.7789,2571.0762
25,104335,81471,28006,17408.259,8876.7789,2571.0762
26,101318,79006,26575,17408.259,8876.7789,2571.0762
27,100559,78021,25798,17408.259,8876.7789,2571.0762
28,101614,78489,25596,17408.259,8876.7789,2571.0762
29,104368,80420,25980,17408.259,8876.7789,2571.0762
30,110155,84039,27141,17408.259,8876.7789,2571.0762
31,119334,89162,29030,17408.259,8876.7789,2571.0762
32,126404,93066,30576,17408.259,8876.7789,2571.0762
33,131988,95613,32292,17408.259,8876.7789,2571.0762
34,136642,98607,34227,17408.259,8876.7789,2571.0762
35,139301,101326,35758,17408.259,8876.7789,2571.0762
36,139542,102553,36454,17408.259,8876.7789,2571.0762
37,138143,102896,36674,17408.259,8876.7789,2571.0762
38,135838,102802,36648,17408.259,8876.7789,2571.0762
39,133702,102611,36597,17408.259,8876.7789,2571.0762
40,132968,103287,37110,17408.259,8876.7789,2571.0762
41,135937,107275,39887,17408.259,8876.7789,2571.0762
42,147351,115980,43504,17408.259,8876.7789,2571.0762
43,160162,118430,43371,17408.259,8876.7789,2571.0762
44,162815,118202,42719,17408.259,8876.7789,2571.0762
45,161906,116291,41204,17408.259,8876.7789,2571.0762
46,158311,112698,38823,17408.259,8876.7789,2571.0762
47,151962,106965,35656,17408.259,8876.7789,2571.0762
48,145158,100943,32716,17408.259,8876.7789,2571.0762
49,140585,96753,30670,17408.259,8876.7789,2571.0762
50,138955,94484,29427,17408.259,8876.7789,2571.0762
51,139027,93864,28887,17408.259,8876.7789,2571.0762
52,141503,94443,28830,17408.259,8876.7789,2571.0762
53,146348,96894,29636,17408.259,8876.7789,2571.0762
54,156901,103135,32124,17408.259,8876.7789,2571.0762
55,173144,113635,36844,17408.259,8876.7789,2571.0762
56,183960,120150,39902,17408.259,8876.7789,2571.0762
57,184175,120423,40720,17408.259,8876.7789,2571.0762
58,181436,119899,41299,17408.259,8876.7789,2571.0762
59,177896,120044,41745,17408.259,8876.7789,2571.0762
60,173188,119886,41929,17408.259,8876.7789,2571.0762
61,167667,119431,41909,17408.259,8876.7789,2571.0762
62,162718,119286,41979,17408.259,8876.7789,2571.0762
63,158557,118790,41920,17408.259,8876.7789,2571.0762
64,156619,119000,42495,17408.259,8876.7789,2571.0762
65,159702,122566,45170,17408.259,8876.7789,2571.0762
66,172920,131432,48842,17408.259,8876.7789,2571.0762
67,190552,134516,48940,17408.259,8876.7789,2571.0762
68,195464,133504,48002,17408.259,8876.7789,2571.0762
