MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind
0,0.107152867,0,0.570484662
0,0.107913275,0,0.644827674
0,0.097630581,0,0.69117656
0.00369477,0.083765995,0,0.709485137
0.133816156,0.059973673,0.024606061,0.70420782
0.328146051,0.04318299,0.178318923,0.688724969
0.586136663,0.02221651,0.354850131,0.659282156
0.752070914,0.001674884,0.509982994,0.470964866
0.839426886,0.00076313,0.67216368,0.147533707
0.856425683,0.00165445,0.77231992,0.144969354
0.838399543,0.00272017,0.785461506,0.174674853
0.83490197,0.004440899,0.790460943,0.202364283
0.837687027,0.015188819,0.783359439,0.232069351
0.821896822,0.031493904,0.749632706,0.264070736
0.781265192,0.05591065,0.722366303,0.303206276
0.708517981,0.074468903,0.619859022,0.335664274
0.472444758,0.090295884,0.469252696,0.364008112
0.112708552,0.139033242,0.14545847,0.518431288
0.000250404,0.171520139,0.003283205,0.62062205
0,0.234450855,0,0.680120912
0,0.230606893,0,0.707191854
0,0.218651079,0,0.711543016
0,0.241806967,0,0.692262281
0,0.257477052,0,0.649396644
0,0.26796282,0,0.585067108
0,0.262439307,0,0.506050438
0,0.252814978,0,0.445209746
0.002927749,0.230161332,0,0.403496018
0.15722085,0.200419435,0.02730704,0.360839344
0.563041313,0.172806637,0.164817019,0.3250311
0.785385772,0.083637775,0.357254064,0.287148022
0.858001649,0.021699896,0.556789304,0.1872224
0.863191258,0.01260175,0.663434397,0.029175941
0.847207855,0.017411958,0.707343503,0.012459977
0.819350484,0.022890172,0.738743714,0.026650014
0.78852558,0.03001952,0.808347985,0.06514873
0.773578871,0.055891647,0.76628887,0.114626264
0.746136993,0.096615306,0.682763361,0.15995339
0.712114201,0.151162478,0.630555296,0.215547332
0.631702504,0.232257966,0.509087861,0.280026138
0.442180076,0.271730072,0.412519397,0.350325917
0.129409011,0.274030558,0.125149349,0.586458673
0.000744918,0.292823609,0.001991906,0.718764038
0,0.274474383,0,0.778091402
0,0.213604277,0,0.797384026
0,0.194524502,0,0.802885415
0,0.227669393,0,0.805377622
0,0.268388908,0,0.806187567
0,0.320850021,0,0.806251551
0,0.383744184,0,0.805997107
0,0.414727994,0,0.805720054
0.001705841,0.426123384,0,0.804880273
0.115781219,0.421792518,0.019664292,0.805079154
0.53418521,0.400502875,0.198884081,0.804633001
