asset,type,capacity,additions,retirements
cement_MA,Macro.CementPlant{NaturalGas},80.26394274963195,0.7031444831329999,0.0
cement_CT,Macro.CementPlant{NaturalGas},105.65193558648602,0.9255535312000527,0.0
cement_ME,Macro.CementPlant{NaturalGas},80.56294884889542,0.7057638970555884,0.0
sorbent_dac_MA,ElectricDAC,0.04353828942324574,0.04353828942324574,0.0
sorbent_dac_CT,ElectricDAC,0.04859101731699442,0.04859101731699442,0.0
sorbent_dac_ME,ElectricDAC,0.06299492465175852,0.06299492465175852,0.0
cement_MA,Macro.ElectrochemCementPlant{CementMaterials},1.6168601478755986,0.014164346455327189,0.0
cement_CT,Macro.ElectrochemCementPlant{CementMaterials},62.335399899290245,0.5460832229460381,0.0
cement_ME,Macro.ElectrochemCementPlant{CementMaterials},244.39082082317827,2.140962074666476,0.0
MA_to_CT,PowerLine,4096.168642039764,1146.1686420397637,0.0
MA_to_ME,PowerLine,3998.7212886221832,1998.7212886221832,0.0
storage_MA,Battery,60.72703082331791,60.72703082331791,0.0
storage_CT,Battery,67.8997518931509,67.8997518931509,0.0
storage_ME,Battery,72.35262608796377,72.35262608796377,0.0
ng_MA,ThermalPower{NaturalGas},14091.146377651212,56.36458551060485,0.0
ng_CT,ThermalPower{NaturalGas},7812.065549680651,31.248262198722603,0.0
ng_ME,ThermalPower{NaturalGas},14.803988609682177,0.05921595443872871,0.0
solar_pv_MA,VRE,2.4355882331471723,2.4355882331471723,0.0
solar_pv_CT,VRE,544.0347650623588,544.0347650623588,0.0
onshore_wind_CT,VRE,5881.24185418629,5881.24185418629,0.0
onshore_wind_ME,VRE,6308.141691571159,6308.141691571159,0.0
