asset,type,capacity,additions,retirements
cement_MA,Macro.CementPlant{NaturalGas},91.28584673410944,0.7997008036277655,0.0
cement_CT,Macro.CementPlant{NaturalGas},106.97849376590095,0.9371747154262019,0.0
cement_ME,Macro.CementPlant{NaturalGas},84.38631446519675,0.7392581205886706,0.0
sorbent_dac_MA,ElectricDAC,0.7168372340002671,0.7168372340002671,0.0
sorbent_dac_CT,ElectricDAC,0.6853408998884745,0.6853408998884745,0.0
sorbent_dac_ME,ElectricDAC,0.708204527669921,0.708204527669921,0.0
cement_MA,Macro.ElectrochemCementPlant{CementMaterials},16.40560447348928,0.14371970629425562,0.0
cement_CT,Macro.ElectrochemCementPlant{CementMaterials},16.24600401595546,0.1423215419707005,0.0
cement_ME,Macro.ElectrochemCementPlant{CementMaterials},16.28977994420422,0.14270503674291912,0.0
MA_to_CT,PowerLine,2950.8118532163535,0.811853216353364,0.0
MA_to_ME,PowerLine,2000.001155721478,0.0011557214779169198,0.0
storage_MA,Battery,46.323486847048066,46.323486847048066,0.0
storage_CT,Battery,42.87302812821056,42.87302812821056,0.0
storage_ME,Battery,53.67119614947923,53.67119614947923,0.0
ng_MA,ThermalPower{NaturalGas},15550.397285700727,62.20158914280291,0.0
ng_CT,ThermalPower{NaturalGas},7661.1374842421155,30.644549936968463,0.0
ng_ME,ThermalPower{NaturalGas},282.0062131004411,1.1280248524017642,0.0
solar_pv_MA,VRE,2.5883237646074475,2.5883237646074475,0.0
solar_pv_CT,VRE,2.858687862709362,2.858687862709362,0.0
onshore_wind_CT,VRE,5.408972814340776,5.408972814340776,0.0
onshore_wind_ME,VRE,3.402222530101984,3.402222530101984,0.0
