elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
10404.0,40414.0,8248.0,3638.0,2169.0,2604.0,5495.0,8166.0,4918.0,13582.0,2358.0
9925.0,39927.0,7860.0,3515.0,2073.0,2496.0,5411.0,8011.0,4753.0,13379.0,2295.0
9160.0,38207.0,7364.0,3281.0,1918.0,2317.0,5193.0,7653.0,4462.0,12839.0,2220.0
8406.0,35792.0,6961.0,3062.0,1792.0,2163.0,4956.0,7191.0,4159.0,12061.0,2098.0
7934.0,33051.0,6697.0,2856.0,1684.0,2050.0,4691.0,6633.0,3871.0,11093.0,2053.0
7655.0,29930.0,6572.0,2739.0,1646.0,1987.0,4412.0,6074.0,3733.0,10161.0,2052.0
7483.0,27952.0,6618.0,2689.0,1638.0,1983.0,4242.0,5684.0,3686.0,9546.0,2083.0
7466.0,26824.0,6581.0,2645.0,1612.0,2004.0,4110.0,5487.0,3665.0,9189.0,2078.0
7733.0,26055.0,6661.0,2677.0,1663.0,2063.0,4034.0,5421.0,3686.0,9073.0,2089.0
8401.0,25912.0,6990.0,2806.0,1724.0,2173.0,4054.0,5448.0,3800.0,9080.0,2097.0
9473.0,26321.0,7609.0,3117.0,1935.0,2364.0,4185.0,5652.0,4140.0,9513.0,2139.0
9928.0,28393.0,7999.0,3480.0,2129.0,2452.0,4349.0,6277.0,4665.0,10464.0,2251.0
9849.0,32044.0,8165.0,3623.0,2169.0,2499.0,4701.0,7200.0,4889.0,12079.0,2289.0
9654.0,35319.0,8143.0,3592.0,2143.0,2515.0,4772.0,7789.0,4891.0,12958.0,2274.0
9453.0,36972.0,8074.0,3541.0,2109.0,2498.0,4865.0,7783.0,4837.0,12883.0,2283.0
9219.0,37777.0,7838.0,3463.0,2077.0,2465.0,4901.0,7681.0,4795.0,12658.0,2247.0
9079.0,38109.0,7769.0,3392.0,2040.0,2449.0,4922.0,7583.0,4731.0,12478.0,2221.0
8964.0,38185.0,7633.0,3323.0,2025.0,2418.0,4873.0,7442.0,4643.0,12199.0,2188.0
8858.0,38238.0,7662.0,3261.0,1999.0,2364.0,4848.0,7312.0,4603.0,11965.0,2194.0
9026.0,37618.0,7861.0,3237.0,2019.0,2358.0,4812.0,7249.0,4580.0,11796.0,2267.0
9326.0,36729.0,8129.0,3269.0,2070.0,2352.0,4792.0,7163.0,4608.0,11685.0,2328.0
10005.0,36866.0,8702.0,3460.0,2183.0,2525.0,4851.0,7224.0,4804.0,11824.0,2354.0
10657.0,37491.0,8840.0,3667.0,2260.0,2660.0,5122.0,7493.0,4994.0,12409.0,2409.0
10572.0,40587.0,8733.0,3711.0,2217.0,2655.0,5506.0,7984.0,4968.0,13220.0,2382.0
10287.0,42010.0,8550.0,3656.0,2154.0,2581.0,5548.0,8116.0,4882.0,13405.0,2352.0
9950.0,41193.0,8162.0,3522.0,2062.0,2494.0,5499.0,7960.0,4735.0,13166.0,2289.0
9157.0,39469.0,7600.0,3299.0,1914.0,2299.0,5323.0,7712.0,4466.0,12711.0,2195.0
8408.0,36952.0,7141.0,3069.0,1798.0,2151.0,5094.0,7219.0,4153.0,11925.0,2124.0
7991.0,33701.0,6757.0,2873.0,1712.0,2047.0,4857.0,6677.0,3906.0,11022.0,2063.0
7727.0,30710.0,6629.0,2751.0,1662.0,2003.0,4534.0,6171.0,3752.0,10107.0,2056.0
7603.0,28651.0,6632.0,2699.0,1649.0,1998.0,4383.0,5760.0,3668.0,9531.0,2090.0
7634.0,27308.0,6667.0,2685.0,1636.0,2009.0,4243.0,5598.0,3685.0,9253.0,2110.0
7955.0,26458.0,6715.0,2709.0,1679.0,2064.0,4233.0,5554.0,3728.0,9153.0,2097.0
