elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
10846.0,42658.0,8764.0,3810.0,2268.0,2691.0,5742.0,8454.0,5219.0,14058.0,2430.0
10340.0,42201.0,8349.0,3679.0,2167.0,2578.0,5653.0,8301.0,5040.0,13855.0,2373.0
9543.0,40296.0,7826.0,3432.0,2006.0,2395.0,5422.0,7920.0,4727.0,13283.0,2291.0
8732.0,37746.0,7375.0,3196.0,1868.0,2232.0,5172.0,7443.0,4393.0,12476.0,2176.0
8207.0,34830.0,7077.0,2974.0,1753.0,2109.0,4885.0,6865.0,4074.0,11470.0,2113.0
7895.0,31461.0,6932.0,2843.0,1707.0,2037.0,4584.0,6281.0,3919.0,10491.0,2113.0
7699.0,29264.0,6956.0,2785.0,1693.0,2027.0,4387.0,5858.0,3862.0,9818.0,2146.0
7659.0,27965.0,6895.0,2731.0,1662.0,2044.0,4239.0,5638.0,3830.0,9425.0,2134.0
7919.0,27062.0,6954.0,2760.0,1710.0,2100.0,4148.0,5558.0,3848.0,9282.0,2134.0
8598.0,26828.0,7285.0,2892.0,1772.0,2209.0,4159.0,5574.0,3968.0,9273.0,2141.0
9704.0,27199.0,7951.0,3212.0,1991.0,2408.0,4288.0,5777.0,4341.0,9698.0,2191.0
10242.0,29305.0,8424.0,3600.0,2203.0,2513.0,4457.0,6413.0,4909.0,10660.0,2312.0
10266.0,33156.0,8693.0,3772.0,2259.0,2605.0,4834.0,7367.0,5175.0,12325.0,2371.0
10104.0,36831.0,8667.0,3764.0,2232.0,2647.0,4945.0,8001.0,5199.0,13276.0,2373.0
9875.0,38848.0,8570.0,3705.0,2194.0,2634.0,5080.0,8032.0,5136.0,13271.0,2382.0
9615.0,39682.0,8299.0,3628.0,2157.0,2600.0,5131.0,7938.0,5087.0,13050.0,2345.0
9475.0,39894.0,8204.0,3551.0,2116.0,2587.0,5139.0,7822.0,5018.0,12849.0,2321.0
9354.0,39832.0,8052.0,3478.0,2103.0,2552.0,5076.0,7664.0,4916.0,12539.0,2275.0
9229.0,39810.0,8057.0,3409.0,2076.0,2472.0,5043.0,7525.0,4864.0,12292.0,2271.0
9408.0,39138.0,8266.0,3384.0,2097.0,2455.0,5002.0,7457.0,4840.0,12119.0,2352.0
9697.0,38236.0,8571.0,3410.0,2152.0,2424.0,4973.0,7369.0,4862.0,11996.0,2390.0
10423.0,38507.0,9197.0,3614.0,2278.0,2603.0,5035.0,7437.0,5074.0,12153.0,2420.0
11125.0,39332.0,9403.0,3834.0,2365.0,2749.0,5323.0,7723.0,5286.0,12774.0,2493.0
11044.0,42717.0,9298.0,3887.0,2324.0,2745.0,5730.0,8244.0,5264.0,13635.0,2469.0
10730.0,44455.0,9092.0,3829.0,2253.0,2667.0,5800.0,8403.0,5171.0,13871.0,2421.0
10367.0,43642.0,8677.0,3688.0,2161.0,2576.0,5754.0,8249.0,5012.0,13635.0,2367.0
9544.0,41719.0,8094.0,3451.0,2006.0,2377.0,5560.0,7981.0,4723.0,13149.0,2267.0
8738.0,39042.0,7583.0,3206.0,1875.0,2219.0,5316.0,7472.0,4379.0,12333.0,2198.0
8275.0,35599.0,7151.0,2993.0,1781.0,2107.0,5064.0,6912.0,4110.0,11395.0,2125.0
7969.0,32362.0,6997.0,2857.0,1722.0,2055.0,4714.0,6379.0,3935.0,10437.0,2119.0
7822.0,30023.0,6982.0,2795.0,1704.0,2044.0,4536.0,5937.0,3838.0,9809.0,2153.0
7833.0,28513.0,6993.0,2774.0,1688.0,2051.0,4379.0,5755.0,3850.0,9495.0,2178.0
8151.0,27490.0,7012.0,2797.0,1728.0,2103.0,4356.0,5697.0,3892.0,9370.0,2144.0
8831.0,27033.0,7368.0,2937.0,1792.0,2176.0,4365.0,5680.0,4052.0,9369.0,2184.0
10073.0,27733.0,8003.0,3254.0,2008.0,2370.0,4441.0,5928.0,4454.0,9821.0,2235.0
10720.0,29741.0,8433.0,3657.0,2233.0,2544.0,4656.0,6560.0,4933.0,10872.0,2313.0
10742.0,33482.0,8754.0,3835.0,2268.0,2633.0,5038.0,7533.0,5216.0,12558.0,2387.0
10331.0,37091.0,8750.0,3822.0,2241.0,2648.0,5110.0,8165.0,5176.0,13696.0,2393.0
10094.0,38945.0,8739.0,3731.0,2194.0,2638.0,5228.0,8181.0,5095.0,13648.0,2356.0
9807.0,39704.0,8598.0,3668.0,2156.0,2610.0,5212.0,8064.0,5080.0,13243.0,2361.0
9593.0,39751.0,8491.0,3588.0,2114.0,2594.0,5198.0,7966.0,5018.0,12873.0,2338.0
9378.0,39336.0,8468.0,3514.0,2074.0,2568.0,5142.0,7793.0,4971.0,12482.0,2335.0
9158.0,39010.0,8358.0,3443.0,2043.0,2499.0,5098.0,7732.0,4896.0,12266.0,2313.0
9234.0,38954.0,8483.0,3430.0,2068.0,2473.0,5018.0,7605.0,4853.0,12070.0,2370.0
9317.0,38750.0,8667.0,3482.0,2123.0,2458.0,5063.0,7517.0,4898.0,11970.0,2378.0
10021.0,39356.0,9247.0,3685.0,2263.0,2621.0,5174.0,7618.0,5121.0,12161.0,2435.0
10934.0,40743.0,9450.0,3906.0,2373.0,2770.0,5488.0,7968.0,5392.0,12878.0,2521.0
10948.0,43514.0,9352.0,3950.0,2346.0,2758.0,5842.0,8450.0,5355.0,13808.0,2503.0
10671.0,44821.0,9100.0,3867.0,2272.0,2696.0,5901.0,8535.0,5254.0,13989.0,2453.0
10278.0,43913.0,8769.0,3752.0,2190.0,2588.0,5845.0,8355.0,5043.0,13740.0,2399.0
9524.0,42013.0,8175.0,3496.0,2048.0,2421.0,5662.0,8057.0,4763.0,13257.0,2323.0
8704.0,39243.0,7604.0,3235.0,1896.0,2235.0,5412.0,7593.0,4344.0,12498.0,2195.0
8228.0,35962.0,7228.0,3033.0,1795.0,2140.0,5080.0,6979.0,4089.0,11446.0,2132.0
7976.0,32652.0,7108.0,2890.0,1740.0,2077.0,4752.0,6432.0,3935.0,10517.0,2128.0
7941.0,30345.0,7129.0,2823.0,1695.0,2077.0,4528.0,6047.0,3865.0,9831.0,2182.0
7906.0,28944.0,7120.0,2784.0,1686.0,2099.0,4404.0,5823.0,3814.0,9485.0,2151.0
8121.0,27986.0,7154.0,2793.0,1712.0,2122.0,4337.0,5721.0,3859.0,9345.0,2139.0
8835.0,27595.0,7461.0,2938.0,1815.0,2250.0,4323.0,5732.0,3993.0,9406.0,2136.0
9930.0,27935.0,8155.0,3230.0,2001.0,2464.0,4438.0,5914.0,4374.0,9789.0,2198.0
10543.0,29955.0,8530.0,3616.0,2216.0,2555.0,4640.0,6569.0,4920.0,10899.0,2291.0
10690.0,34268.0,8855.0,3819.0,2278.0,2649.0,4989.0,7491.0,5156.0,12551.0,2397.0
10874.0,37609.0,8779.0,3813.0,2256.0,2704.0,5167.0,8124.0,5170.0,13660.0,2401.0
10719.0,39504.0,8603.0,3693.0,2237.0,2714.0,5291.0,8152.0,5034.0,13622.0,2315.0
10578.0,40509.0,8406.0,3622.0,2152.0,2653.0,5388.0,7982.0,5012.0,13327.0,2337.0
10321.0,40880.0,8292.0,3541.0,2116.0,2617.0,5442.0,7845.0,4939.0,12954.0,2337.0
10300.0,40804.0,8193.0,3449.0,2088.0,2617.0,5363.0,7606.0,4888.0,12464.0,2335.0
10189.0,40601.0,8092.0,3382.0,2076.0,2555.0,5356.0,7445.0,4805.0,12145.0,2283.0
10225.0,40164.0,8179.0,3356.0,2050.0,2555.0,5409.0,7289.0,4749.0,11888.0,2343.0
10300.0,39609.0,8524.0,3358.0,2121.0,2553.0,5412.0,7193.0,4815.0,11755.0,2339.0
10851.0,39363.0,9231.0,3565.0,2245.0,2687.0,5435.0,7214.0,5032.0,11904.0,2409.0
11312.0,40406.0,9452.0,3811.0,2353.0,2774.0,5637.0,7523.0,5214.0,12451.0,2491.0
11239.0,43743.0,9330.0,3856.0,2356.0,2736.0,5981.0,8104.0,5250.0,13563.0,2501.0
