elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
10155.0,38119.0,9448.0,3617.0,2139.0,2735.0,5467.0,7108.0,5414.0,11611.0,2573.0
10936.0,36598.0,9788.0,3767.0,2250.0,2866.0,5358.0,7023.0,5591.0,11499.0,2548.0
12332.0,36323.0,10883.0,4135.0,2500.0,3117.0,5439.0,7139.0,6167.0,11760.0,2619.0
13533.0,38489.0,11900.0,4707.0,2844.0,3316.0,5680.0,7843.0,7071.0,12930.0,2774.0
14401.0,44410.0,13079.0,5163.0,3050.0,3588.0,6212.0,8981.0,7723.0,14943.0,3012.0
14798.0,51096.0,13173.0,5282.0,3044.0,3710.0,6718.0,9942.0,7774.0,16645.0,3100.0
14463.0,56960.0,12812.0,5165.0,2990.0,3727.0,7195.0,10323.0,7589.0,17277.0,3088.0
14148.0,58960.0,12320.0,5023.0,2860.0,3641.0,7435.0,10263.0,7455.0,17168.0,3116.0
13813.0,57941.0,12045.0,4888.0,2799.0,3570.0,7393.0,10102.0,7317.0,16700.0,3090.0
13790.0,56737.0,11821.0,4776.0,2763.0,3558.0,7174.0,9782.0,7239.0,16038.0,3088.0
13659.0,56347.0,11624.0,4676.0,2738.0,3524.0,7131.0,9584.0,7115.0,15624.0,3024.0
13858.0,55741.0,11810.0,4673.0,2743.0,3551.0,7187.0,9383.0,7119.0,15304.0,3075.0
14153.0,54920.0,12418.0,4733.0,2873.0,3530.0,7178.0,9230.0,7283.0,15086.0,3049.0
14993.0,55894.0,13596.0,5022.0,3085.0,3619.0,7276.0,9245.0,7598.0,15272.0,3113.0
15868.0,58344.0,14367.0,5404.0,3293.0,3805.0,7611.0,9719.0,7991.0,16127.0,3263.0
15809.0,64292.0,14275.0,5509.0,3297.0,3772.0,8174.0,10560.0,8026.0,17712.0,3282.0
15108.0,68195.0,13778.0,5400.0,3176.0,3633.0,8450.0,11064.0,7835.0,18508.0,3175.0
14303.0,67723.0,13006.0,5217.0,3037.0,3490.0,8363.0,10977.0,7555.0,18396.0,3125.0
13362.0,63908.0,12015.0,4911.0,2854.0,3252.0,7984.0,10582.0,7123.0,17690.0,2975.0
12273.0,59567.0,10982.0,4530.0,2614.0,3011.0,7619.0,9984.0,6536.0,16793.0,2803.0
11406.0,54786.0,10011.0,4214.0,2420.0,2820.0,7123.0,9224.0,6018.0,15485.0,2702.0
10947.0,49070.0,9462.0,3963.0,2309.0,2702.0,6602.0,8414.0,5703.0,14088.0,2618.0
10328.0,44015.0,9208.0,3836.0,2239.0,2641.0,6036.0,7798.0,5550.0,12975.0,2643.0
10005.0,40176.0,9016.0,3764.0,2186.0,2638.0,5680.0,7400.0,5415.0,12378.0,2587.0
10084.0,37671.0,8980.0,3729.0,2187.0,2661.0,5490.0,7204.0,5341.0,12043.0,2510.0
10799.0,36244.0,9302.0,3852.0,2295.0,2742.0,5392.0,7082.0,5586.0,11901.0,2544.0
12344.0,36119.0,10338.0,4228.0,2539.0,2958.0,5468.0,7226.0,6172.0,12203.0,2613.0
13683.0,38503.0,11567.0,4767.0,2880.0,3245.0,5761.0,7916.0,7060.0,13358.0,2801.0
14715.0,44265.0,12663.0,5242.0,3120.0,3529.0,6220.0,9107.0,7698.0,15449.0,2979.0
14855.0,51038.0,12808.0,5415.0,3134.0,3675.0,6714.0,10092.0,7750.0,17301.0,3081.0
14605.0,56966.0,12566.0,5382.0,3084.0,3677.0,7232.0,10497.0,7631.0,17939.0,3127.0
