elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
11985.0,48699.0,10366.0,4263.0,2545.0,2992.0,6368.0,9283.0,5996.0,15429.0,2814.0
11405.0,48314.0,9889.0,4109.0,2429.0,2877.0,6279.0,9133.0,5777.0,15232.0,2756.0
10512.0,45886.0,9226.0,3838.0,2247.0,2712.0,6003.0,8698.0,5418.0,14568.0,2646.0
9588.0,42971.0,8716.0,3567.0,2086.0,2527.0,5721.0,8194.0,5011.0,13711.0,2544.0
8928.0,39600.0,8320.0,3300.0,1944.0,2378.0,5387.0,7607.0,4615.0,12680.0,2485.0
8519.0,35591.0,8079.0,3134.0,1882.0,2287.0,5028.0,6958.0,4416.0,11581.0,2469.0
8262.0,32774.0,8049.0,3049.0,1852.0,2244.0,4764.0,6453.0,4331.0,10764.0,2501.0
8173.0,30983.0,7945.0,2979.0,1809.0,2249.0,4574.0,6185.0,4274.0,10277.0,2489.0
8411.0,29706.0,7976.0,2999.0,1852.0,2296.0,4446.0,6069.0,4277.0,10071.0,2481.0
9109.0,29191.0,8284.0,3132.0,1919.0,2404.0,4433.0,6057.0,4411.0,10012.0,2466.0
10313.0,29406.0,9016.0,3475.0,2157.0,2614.0,4554.0,6248.0,4850.0,10418.0,2479.0
11029.0,31557.0,9639.0,3917.0,2406.0,2756.0,4734.0,6906.0,5525.0,11395.0,2584.0
11261.0,35838.0,10168.0,4161.0,2504.0,2905.0,5167.0,7864.0,5912.0,13074.0,2694.0
11162.0,40496.0,10239.0,4185.0,2483.0,2971.0,5375.0,8574.0,5945.0,14169.0,2760.0
10987.0,43658.0,10151.0,4191.0,2438.0,3036.0,5601.0,8701.0,5999.0,14333.0,2916.0
10709.0,45539.0,9830.0,4132.0,2386.0,3027.0,5750.0,8657.0,5967.0,14198.0,2928.0
10558.0,45771.0,9681.0,4056.0,2335.0,3005.0,5744.0,8561.0,5889.0,14020.0,2911.0
10415.0,45758.0,9488.0,3969.0,2321.0,2956.0,5650.0,8438.0,5750.0,13757.0,2857.0
10251.0,45660.0,9469.0,3883.0,2290.0,2864.0,5595.0,8283.0,5670.0,13477.0,2833.0
10407.0,44928.0,9693.0,3851.0,2321.0,2814.0,5539.0,8193.0,5642.0,13278.0,2890.0
10682.0,43549.0,9998.0,3815.0,2397.0,2702.0,5490.0,7999.0,5550.0,12970.0,2775.0
11517.0,42896.0,10736.0,4022.0,2547.0,2864.0,5511.0,8062.0,5786.0,13138.0,2785.0
12345.0,44145.0,11100.0,4283.0,2662.0,3043.0,5833.0,8394.0,6056.0,13849.0,2872.0
12272.0,48317.0,11010.0,4357.0,2624.0,3057.0,6304.0,8994.0,6043.0,14846.0,2853.0
11872.0,50865.0,10742.0,4286.0,2536.0,2969.0,6438.0,9234.0,5921.0,15231.0,2806.0
11437.0,50076.0,10266.0,4120.0,2426.0,2874.0,6403.0,9080.0,5730.0,14998.0,2750.0
