No_fuel,mountain_coal,mountain_naturalgas,mountain_uranium,pacific_coal,pacific_naturalgas,pacific_uranium
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
0.0,4.777,14.7405,2.1155,4.9817,15.1499,2.1155
