elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
11067.0,43778.0,9021.0,3895.0,2318.0,2734.0,5864.0,8597.0,5369.0,14295.0,2475.0
10546.0,43338.0,8593.0,3760.0,2215.0,2620.0,5775.0,8445.0,5183.0,14094.0,2407.0
9729.0,41342.0,8057.0,3509.0,2052.0,2435.0,5536.0,8054.0,4859.0,13507.0,2336.0
8898.0,38723.0,7582.0,3266.0,1908.0,2266.0,5278.0,7570.0,4511.0,12685.0,2207.0
8347.0,35720.0,7267.0,3034.0,1787.0,2139.0,4981.0,6980.0,4176.0,11658.0,2144.0
8009.0,32228.0,7111.0,2897.0,1738.0,2063.0,4669.0,6382.0,4012.0,10656.0,2144.0
7803.0,29918.0,7126.0,2831.0,1719.0,2050.0,4459.0,5943.0,3949.0,9953.0,2188.0
7757.0,28535.0,7051.0,2775.0,1685.0,2064.0,4302.0,5714.0,3913.0,9542.0,2174.0
8007.0,27563.0,7100.0,2802.0,1735.0,2118.0,4203.0,5628.0,3927.0,9388.0,2169.0
8695.0,27284.0,7433.0,2935.0,1798.0,2226.0,4211.0,5638.0,4052.0,9369.0,2175.0
9825.0,27636.0,8122.0,3261.0,2020.0,2430.0,4338.0,5838.0,4442.0,9791.0,2212.0
10395.0,29757.0,8636.0,3661.0,2238.0,2545.0,4510.0,6480.0,5030.0,10759.0,2335.0
10473.0,33708.0,8957.0,3848.0,2302.0,2658.0,4904.0,7452.0,5319.0,12448.0,2407.0
10335.0,37587.0,8930.0,3849.0,2276.0,2712.0,5030.0,8105.0,5353.0,13437.0,2417.0
10090.0,39788.0,8816.0,3791.0,2237.0,2702.0,5186.0,8156.0,5285.0,13464.0,2425.0
9812.0,40637.0,8529.0,3708.0,2196.0,2666.0,5245.0,8066.0,5233.0,13246.0,2389.0
9674.0,40786.0,8421.0,3632.0,2153.0,2657.0,5247.0,7943.0,5160.0,13032.0,2367.0
9551.0,40655.0,8261.0,3554.0,2139.0,2618.0,5178.0,7774.0,5052.0,12709.0,2329.0
9417.0,40596.0,8256.0,3482.0,2111.0,2526.0,5142.0,7633.0,4994.0,12455.0,2321.0
9602.0,39898.0,8468.0,3457.0,2134.0,2505.0,5098.0,7560.0,4970.0,12279.0,2387.0
9882.0,38989.0,8793.0,3481.0,2194.0,2460.0,5064.0,7471.0,4989.0,12152.0,2422.0
10636.0,39326.0,9446.0,3690.0,2323.0,2642.0,5126.0,7544.0,5210.0,12317.0,2463.0
11363.0,40252.0,9685.0,3918.0,2419.0,2795.0,5422.0,7837.0,5432.0,12956.0,2531.0
11285.0,43782.0,9580.0,3979.0,2378.0,2791.0,5843.0,8375.0,5412.0,13841.0,2506.0
10955.0,45679.0,9361.0,3917.0,2302.0,2711.0,5925.0,8545.0,5316.0,14106.0,2467.0
10573.0,44866.0,8934.0,3769.0,2206.0,2617.0,5881.0,8395.0,5151.0,13867.0,2401.0
9733.0,42841.0,8342.0,3528.0,2050.0,2417.0,5678.0,8116.0,4852.0,13367.0,2313.0
8902.0,40086.0,7805.0,3275.0,1916.0,2254.0,5429.0,7601.0,4492.0,12538.0,2231.0
8416.0,36547.0,7348.0,3053.0,1815.0,2136.0,5169.0,7028.0,4212.0,11583.0,2169.0
8091.0,33189.0,7182.0,2910.0,1754.0,2081.0,4803.0,6481.0,4025.0,10601.0,2149.0
7927.0,30712.0,7156.0,2843.0,1734.0,2068.0,4613.0,6026.0,3924.0,9945.0,2197.0
7933.0,29116.0,7155.0,2819.0,1712.0,2072.0,4446.0,5833.0,3932.0,9616.0,2207.0
8248.0,28007.0,7161.0,2839.0,1754.0,2122.0,4416.0,5768.0,3975.0,9479.0,2178.0
8940.0,27494.0,7519.0,2980.0,1817.0,2194.0,4422.0,5746.0,4138.0,9467.0,2204.0
10197.0,28173.0,8176.0,3304.0,2037.0,2393.0,4496.0,5993.0,4555.0,9920.0,2256.0
10884.0,30192.0,8649.0,3718.0,2268.0,2576.0,4715.0,6631.0,5055.0,10974.0,2337.0
10965.0,34041.0,9024.0,3911.0,2313.0,2687.0,5113.0,7620.0,5362.0,12688.0,2423.0
10572.0,37842.0,9027.0,3910.0,2284.0,2715.0,5204.0,8275.0,5331.0,13863.0,2448.0
10314.0,39876.0,9005.0,3818.0,2237.0,2706.0,5345.0,8309.0,5245.0,13851.0,2400.0
10015.0,40651.0,8847.0,3751.0,2194.0,2678.0,5338.0,8197.0,5226.0,13454.0,2406.0
9796.0,40628.0,8731.0,3670.0,2153.0,2664.0,5315.0,8092.0,5165.0,13070.0,2383.0
9577.0,40139.0,8702.0,3593.0,2111.0,2636.0,5251.0,7908.0,5115.0,12661.0,2379.0
9348.0,39779.0,8582.0,3520.0,2081.0,2554.0,5201.0,7843.0,5033.0,12438.0,2352.0
9431.0,39710.0,8709.0,3506.0,2105.0,2523.0,5117.0,7715.0,4989.0,12235.0,2408.0
9501.0,39505.0,8906.0,3556.0,2163.0,2495.0,5162.0,7627.0,5031.0,12130.0,2410.0
10232.0,40166.0,9510.0,3762.0,2309.0,2662.0,5272.0,7731.0,5262.0,12331.0,2481.0
11171.0,41650.0,9744.0,3993.0,2425.0,2817.0,5595.0,8088.0,5552.0,13063.0,2560.0
11190.0,44568.0,9648.0,4041.0,2401.0,2805.0,5961.0,8585.0,5515.0,14019.0,2543.0
10893.0,46041.0,9378.0,3955.0,2322.0,2741.0,6032.0,8685.0,5405.0,14226.0,2490.0
10490.0,45139.0,9035.0,3836.0,2238.0,2631.0,5977.0,8504.0,5183.0,13979.0,2445.0
9719.0,43136.0,8432.0,3577.0,2093.0,2464.0,5784.0,8196.0,4894.0,13479.0,2359.0
8872.0,40294.0,7832.0,3304.0,1933.0,2270.0,5527.0,7724.0,4459.0,12707.0,2228.0
8368.0,36916.0,7429.0,3095.0,1828.0,2171.0,5185.0,7099.0,4191.0,11638.0,2175.0
8097.0,33483.0,7299.0,2945.0,1770.0,2104.0,4843.0,6539.0,4028.0,10683.0,2171.0
8050.0,31049.0,7307.0,2873.0,1724.0,2100.0,4603.0,6135.0,3954.0,9971.0,2213.0
8005.0,29552.0,7285.0,2829.0,1711.0,2119.0,4470.0,5899.0,3899.0,9608.0,2189.0
8217.0,28521.0,7309.0,2836.0,1738.0,2143.0,4398.0,5795.0,3943.0,9456.0,2175.0
8941.0,28072.0,7619.0,2982.0,1841.0,2270.0,4379.0,5800.0,4081.0,9508.0,2171.0
10049.0,28384.0,8338.0,3279.0,2030.0,2488.0,4493.0,5979.0,4477.0,9887.0,2219.0
10697.0,30423.0,8753.0,3676.0,2254.0,2589.0,4699.0,6641.0,5044.0,11004.0,2327.0
10896.0,34849.0,9132.0,3896.0,2322.0,2706.0,5061.0,7577.0,5302.0,12681.0,2433.0
11106.0,38383.0,9056.0,3900.0,2300.0,2772.0,5255.0,8232.0,5322.0,13829.0,2457.0
10933.0,40468.0,8862.0,3779.0,2280.0,2785.0,5402.0,8277.0,5180.0,13828.0,2360.0
10781.0,41495.0,8644.0,3704.0,2192.0,2722.0,5507.0,8112.0,5157.0,13537.0,2381.0
10523.0,41804.0,8517.0,3622.0,2153.0,2688.0,5558.0,7970.0,5084.0,13151.0,2383.0
10500.0,41657.0,8408.0,3527.0,2127.0,2685.0,5471.0,7719.0,5025.0,12642.0,2379.0
10378.0,41416.0,8294.0,3455.0,2112.0,2612.0,5462.0,7556.0,4938.0,12312.0,2331.0
10425.0,40966.0,8384.0,3429.0,2089.0,2607.0,5515.0,7397.0,4882.0,12052.0,2381.0
10492.0,40403.0,8746.0,3429.0,2162.0,2593.0,5516.0,7296.0,4943.0,11914.0,2371.0
11066.0,40207.0,9480.0,3641.0,2291.0,2728.0,5538.0,7320.0,5169.0,12073.0,2454.0
11545.0,41350.0,9734.0,3898.0,2408.0,2821.0,5751.0,7639.0,5364.0,12636.0,2530.0
11473.0,44825.0,9614.0,3947.0,2411.0,2783.0,6107.0,8236.0,5400.0,13777.0,2539.0
11088.0,46272.0,9391.0,3890.0,2340.0,2702.0,6181.0,8516.0,5335.0,14137.0,2477.0
10520.0,45617.0,8910.0,3786.0,2257.0,2581.0,6122.0,8426.0,5176.0,14010.0,2454.0
9848.0,43661.0,8285.0,3572.0,2122.0,2391.0,5905.0,8192.0,4877.0,13610.0,2348.0
9147.0,40702.0,7698.0,3316.0,1967.0,2217.0,5668.0,7733.0,4517.0,12955.0,2244.0
8671.0,37500.0,7256.0,3126.0,1854.0,2104.0,5325.0,7149.0,4234.0,11954.0,2197.0
8498.0,33957.0,7044.0,2984.0,1802.0,2040.0,5012.0,6568.0,4052.0,10953.0,2173.0
8101.0,31338.0,7033.0,2934.0,1776.0,2016.0,4710.0,6196.0,3996.0,10305.0,2228.0
7954.0,29291.0,6997.0,2922.0,1761.0,2054.0,4506.0,5962.0,3944.0,9996.0,2185.0
8124.0,28087.0,7023.0,2929.0,1785.0,2098.0,4415.0,5877.0,3899.0,9866.0,2111.0
