elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
15418.0,66371.0,13545.0,5498.0,3176.0,3713.0,8121.0,11303.0,8157.0,18918.0,3202.0
14632.0,66144.0,12852.0,5278.0,3020.0,3576.0,8025.0,11156.0,7833.0,18724.0,3115.0
13502.0,62241.0,11953.0,4929.0,2801.0,3346.0,7625.0,10571.0,7337.0,17802.0,2991.0
12258.0,58273.0,11016.0,4558.0,2575.0,3103.0,7249.0,9936.0,6744.0,16718.0,2787.0
11222.0,53561.0,10287.0,4175.0,2374.0,2889.0,6787.0,9154.0,6133.0,15348.0,2670.0
10556.0,47774.0,9793.0,3916.0,2261.0,2755.0,6267.0,8319.0,5816.0,13926.0,2619.0
10127.0,43166.0,9555.0,3768.0,2202.0,2701.0,5826.0,7602.0,5653.0,12732.0,2618.0
9908.0,39989.0,9305.0,3648.0,2128.0,2676.0,5520.0,7215.0,5518.0,12021.0,2591.0
10079.0,37693.0,9278.0,3637.0,2155.0,2708.0,5301.0,7018.0,5485.0,11648.0,2579.0
10824.0,36360.0,9636.0,3772.0,2221.0,2825.0,5222.0,6935.0,5656.0,11462.0,2576.0
12268.0,36126.0,10707.0,4180.0,2511.0,3069.0,5318.0,7068.0,6251.0,11770.0,2629.0
13442.0,38389.0,11910.0,4768.0,2857.0,3285.0,5525.0,7771.0,7206.0,12797.0,2809.0
14250.0,43860.0,13056.0,5203.0,3068.0,3560.0,6102.0,8950.0,7907.0,14848.0,3012.0
14253.0,51180.0,13195.0,5320.0,3059.0,3664.0,6561.0,9933.0,8003.0,16423.0,3095.0
13806.0,57355.0,12900.0,5256.0,2984.0,3653.0,7046.0,10344.0,7894.0,17111.0,3175.0
13330.0,59090.0,12356.0,5099.0,2895.0,3600.0,7246.0,10344.0,7699.0,17042.0,3133.0
13117.0,57803.0,12104.0,4969.0,2829.0,3546.0,7116.0,10179.0,7548.0,16721.0,3083.0
12983.0,56535.0,11828.0,4876.0,2810.0,3496.0,6914.0,9927.0,7410.0,16242.0,3042.0
12827.0,56314.0,11754.0,4782.0,2773.0,3434.0,6847.0,9746.0,7304.0,15916.0,3017.0
13177.0,55434.0,12107.0,4784.0,2825.0,3447.0,6778.0,9642.0,7349.0,15692.0,3092.0
13754.0,54268.0,12714.0,4876.0,2948.0,3414.0,6711.0,9519.0,7494.0,15479.0,3132.0
14837.0,55974.0,13836.0,5166.0,3162.0,3566.0,6862.0,9607.0,7827.0,15715.0,3151.0
15998.0,58392.0,14636.0,5529.0,3350.0,3813.0,7278.0,10064.0,8244.0,16665.0,3297.0
15942.0,64634.0,14543.0,5649.0,3306.0,3821.0,7921.0,10854.0,8239.0,18004.0,3278.0
15290.0,69285.0,14021.0,5530.0,3175.0,3686.0,8218.0,11257.0,8024.0,18700.0,3193.0
14665.0,68565.0,13331.0,5296.0,3023.0,3570.0,8197.0,11104.0,7738.0,18477.0,3098.0
13509.0,64545.0,12410.0,4958.0,2811.0,3324.0,7822.0,10647.0,7273.0,17637.0,2955.0
12245.0,60373.0,11389.0,4573.0,2592.0,3085.0,7450.0,9973.0,6672.0,16537.0,2814.0
