elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
11679.0,47059.0,9917.0,4139.0,2469.0,2906.0,6201.0,9055.0,5787.0,15050.0,2699.0
11117.0,46655.0,9458.0,3992.0,2357.0,2791.0,6112.0,8905.0,5579.0,14852.0,2641.0
10255.0,44372.0,8837.0,3727.0,2183.0,2620.0,5848.0,8483.0,5232.0,14214.0,2540.0
9359.0,41554.0,8336.0,3465.0,2024.0,2441.0,5574.0,7985.0,4845.0,13369.0,2437.0
8734.0,38308.0,7969.0,3211.0,1891.0,2298.0,5253.0,7398.0,4468.0,12340.0,2371.0
8348.0,34470.0,7756.0,3054.0,1831.0,2212.0,4908.0,6766.0,4281.0,11273.0,2362.0
8111.0,31821.0,7742.0,2978.0,1807.0,2179.0,4661.0,6282.0,4204.0,10494.0,2393.0
8039.0,30168.0,7647.0,2911.0,1768.0,2187.0,4484.0,6027.0,4153.0,10033.0,2379.0
8274.0,28993.0,7683.0,2933.0,1815.0,2238.0,4364.0,5923.0,4160.0,9843.0,2373.0
8968.0,28555.0,8001.0,3066.0,1878.0,2345.0,4359.0,5917.0,4291.0,9797.0,2366.0
10153.0,28815.0,8717.0,3403.0,2112.0,2552.0,4482.0,6112.0,4714.0,10210.0,2385.0
10816.0,30955.0,9305.0,3832.0,2350.0,2686.0,4659.0,6763.0,5361.0,11183.0,2497.0
11001.0,35129.0,9764.0,4058.0,2437.0,2823.0,5078.0,7727.0,5714.0,12866.0,2605.0
10886.0,39528.0,9802.0,4074.0,2414.0,2885.0,5260.0,8420.0,5748.0,13923.0,2646.0
10688.0,42369.0,9706.0,4056.0,2370.0,2925.0,5463.0,8519.0,5762.0,14045.0,2756.0
10409.0,43905.0,9395.0,3991.0,2322.0,2908.0,5582.0,8460.0,5721.0,13882.0,2752.0
10264.0,44111.0,9261.0,3916.0,2275.0,2890.0,5579.0,8356.0,5646.0,13691.0,2732.0
10130.0,44056.0,9079.0,3831.0,2260.0,2844.0,5492.0,8215.0,5518.0,13407.0,2675.0
9969.0,43971.0,9064.0,3749.0,2233.0,2752.0,5444.0,8066.0,5444.0,13137.0,2663.0
10138.0,43252.0,9284.0,3719.0,2259.0,2712.0,5391.0,7982.0,5418.0,12947.0,2726.0
10413.0,42029.0,9596.0,3705.0,2330.0,2622.0,5347.0,7821.0,5363.0,12698.0,2658.0
11224.0,41705.0,10306.0,3911.0,2472.0,2791.0,5383.0,7890.0,5594.0,12865.0,2675.0
12013.0,42848.0,10629.0,4163.0,2581.0,2961.0,5695.0,8210.0,5848.0,13552.0,2759.0
11939.0,46806.0,10533.0,4230.0,2541.0,2969.0,6150.0,8789.0,5832.0,14512.0,2737.0
11564.0,49136.0,10283.0,4163.0,2457.0,2882.0,6267.0,9005.0,5719.0,14854.0,2690.0
11153.0,48339.0,9822.0,4002.0,2352.0,2788.0,6229.0,8850.0,5537.0,14620.0,2633.0
10260.0,46013.0,9153.0,3748.0,2184.0,2602.0,6001.0,8548.0,5215.0,14070.0,2514.0
9364.0,43047.0,8589.0,3476.0,2036.0,2427.0,5732.0,8016.0,4817.0,13215.0,2463.0
8809.0,39245.0,8064.0,3232.0,1922.0,2297.0,5450.0,7447.0,4505.0,12262.0,2383.0
8436.0,35538.0,7839.0,3069.0,1849.0,2231.0,5053.0,6869.0,4293.0,11221.0,2367.0
8241.0,32643.0,7784.0,2991.0,1824.0,2198.0,4826.0,6372.0,4175.0,10493.0,2403.0
8219.0,30788.0,7762.0,2957.0,1796.0,2197.0,4633.0,6150.0,4172.0,10114.0,2415.0
8521.0,29446.0,7751.0,2971.0,1831.0,2243.0,4588.0,6066.0,4213.0,9939.0,2383.0
9220.0,28763.0,8091.0,3113.0,1899.0,2314.0,4581.0,6028.0,4379.0,9900.0,2399.0
10533.0,29357.0,8779.0,3448.0,2133.0,2515.0,4650.0,6268.0,4831.0,10338.0,2441.0
11315.0,31386.0,9328.0,3892.0,2383.0,2716.0,4872.0,6913.0,5387.0,11403.0,2501.0
11515.0,35467.0,9846.0,4124.0,2448.0,2852.0,5306.0,7898.0,5765.0,13109.0,2622.0
11154.0,39779.0,9928.0,4138.0,2423.0,2890.0,5447.0,8593.0,5728.0,14360.0,2668.0
10936.0,42436.0,9939.0,4088.0,2370.0,2933.0,5642.0,8676.0,5721.0,14444.0,2730.0
