elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
14066.0,59232.0,12370.0,5013.0,2943.0,3482.0,7428.0,10538.0,7306.0,17598.0,3072.0
13366.0,58955.0,11764.0,4818.0,2804.0,3366.0,7335.0,10393.0,7022.0,17409.0,2996.0
12334.0,55645.0,10937.0,4500.0,2600.0,3162.0,6981.0,9869.0,6578.0,16590.0,2870.0
11215.0,52103.0,10160.0,4166.0,2400.0,2943.0,6644.0,9285.0,6053.0,15600.0,2708.0
10334.0,47931.0,9569.0,3827.0,2222.0,2758.0,6231.0,8584.0,5523.0,14356.0,2614.0
9770.0,42849.0,9174.0,3604.0,2128.0,2642.0,5772.0,7822.0,5251.0,13060.0,2577.0
9405.0,38966.0,9013.0,3480.0,2079.0,2594.0,5398.0,7190.0,5118.0,12012.0,2587.0
9241.0,36334.0,8822.0,3379.0,2019.0,2578.0,5136.0,6843.0,5012.0,11377.0,2568.0
9430.0,34436.0,8820.0,3379.0,2050.0,2617.0,4950.0,6672.0,4991.0,11064.0,2550.0
10149.0,33427.0,9152.0,3514.0,2115.0,2728.0,4896.0,6614.0,5150.0,10921.0,2539.0
11491.0,33372.0,10083.0,3897.0,2385.0,2948.0,5002.0,6779.0,5689.0,11282.0,2578.0
12475.0,35580.0,11050.0,4430.0,2693.0,3126.0,5198.0,7458.0,6538.0,12279.0,2718.0
13073.0,40571.0,11962.0,4797.0,2859.0,3352.0,5720.0,8548.0,7128.0,14182.0,2887.0
13074.0,46816.0,12091.0,4885.0,2837.0,3468.0,6087.0,9414.0,7214.0,15546.0,2992.0
12756.0,51867.0,11900.0,4862.0,2774.0,3502.0,6479.0,9705.0,7191.0,16020.0,3133.0
12357.0,53707.0,11447.0,4744.0,2701.0,3474.0,6674.0,9691.0,7053.0,15931.0,3116.0
12170.0,52994.0,11230.0,4633.0,2643.0,3433.0,6588.0,9598.0,6925.0,15741.0,3077.0
12034.0,52305.0,10984.0,4547.0,2622.0,3384.0,6423.0,9415.0,6792.0,15377.0,3038.0
11881.0,52178.0,10925.0,4452.0,2587.0,3321.0,6365.0,9247.0,6689.0,15069.0,3011.0
12147.0,51260.0,11213.0,4440.0,2632.0,3305.0,6297.0,9139.0,6705.0,14842.0,3067.0
12587.0,49942.0,11685.0,4475.0,2738.0,3209.0,6234.0,8984.0,6749.0,14579.0,3025.0
13519.0,50817.0,12665.0,4713.0,2930.0,3328.0,6332.0,9022.0,7009.0,14723.0,3019.0
14558.0,52570.0,13316.0,5037.0,3093.0,3557.0,6696.0,9427.0,7374.0,15579.0,3148.0
14497.0,58049.0,13232.0,5142.0,3050.0,3570.0,7276.0,10146.0,7368.0,16794.0,3129.0
13946.0,61903.0,12813.0,5042.0,2939.0,3457.0,7515.0,10492.0,7191.0,17382.0,3062.0
13399.0,61160.0,12211.0,4834.0,2806.0,3362.0,7491.0,10342.0,6943.0,17160.0,2989.0
12348.0,57755.0,11357.0,4527.0,2608.0,3143.0,7168.0,9945.0,6528.0,16429.0,2845.0
11214.0,54023.0,10499.0,4179.0,2412.0,2928.0,6832.0,9325.0,5995.0,15422.0,2733.0
10417.0,49245.0,9721.0,3855.0,2253.0,2758.0,6469.0,8638.0,5563.0,14275.0,2630.0
9866.0,44281.0,9295.0,3623.0,2145.0,2665.0,5948.0,7931.0,5256.0,13015.0,2587.0
9560.0,39896.0,9096.0,3500.0,2100.0,2617.0,5594.0,7295.0,5074.0,12029.0,2599.0
9443.0,37082.0,8979.0,3430.0,2050.0,2595.0,5311.0,6980.0,5030.0,11477.0,2606.0
9699.0,34932.0,8913.0,3421.0,2070.0,2628.0,5208.0,6828.0,5058.0,11179.0,2572.0
10434.0,33645.0,9268.0,3571.0,2141.0,2701.0,5152.0,6735.0,5245.0,11043.0,2581.0
11904.0,33922.0,10168.0,3948.0,2411.0,2917.0,5203.0,6943.0,5817.0,11419.0,2626.0
13020.0,35996.0,11104.0,4502.0,2728.0,3159.0,5444.0,7614.0,6579.0,12508.0,2727.0
13674.0,40926.0,12091.0,4877.0,2872.0,3389.0,5996.0,8730.0,7202.0,14442.0,2912.0
13417.0,47062.0,12309.0,4964.0,2851.0,3482.0,6319.0,9601.0,7202.0,16019.0,3021.0
13072.0,51885.0,12270.0,4907.0,2776.0,3519.0,6723.0,9880.0,7157.0,16467.0,3116.0
12632.0,53690.0,11938.0,4807.0,2701.0,3493.0,6855.0,9875.0,7071.0,16237.0,3141.0
12334.0,52745.0,11733.0,4690.0,2648.0,3451.0,6743.0,9794.0,6969.0,15859.0,3096.0
12096.0,51663.0,11633.0,4605.0,2602.0,3413.0,6565.0,9601.0,6917.0,15408.0,3092.0
11838.0,51263.0,11465.0,4507.0,2562.0,3361.0,6479.0,9510.0,6793.0,15107.0,3050.0
12006.0,51063.0,11653.0,4503.0,2602.0,3338.0,6367.0,9346.0,6776.0,14835.0,3094.0
12231.0,50476.0,11952.0,4565.0,2706.0,3254.0,6396.0,9188.0,6848.0,14608.0,3021.0
13145.0,51622.0,12865.0,4807.0,2914.0,3360.0,6549.0,9251.0,7116.0,14774.0,3042.0
14412.0,53957.0,13494.0,5137.0,3100.0,3594.0,6944.0,9717.0,7594.0,15726.0,3186.0
14441.0,58786.0,13420.0,5230.0,3076.0,3598.0,7451.0,10393.0,7565.0,17010.0,3178.0
13907.0,62238.0,12918.0,5103.0,2964.0,3501.0,7677.0,10670.0,7341.0,17549.0,3096.0
13339.0,61434.0,12396.0,4920.0,2841.0,3390.0,7620.0,10489.0,7002.0,17320.0,3033.0
12358.0,58059.0,11534.0,4590.0,2655.0,3204.0,7316.0,10048.0,6599.0,16586.0,2902.0
