No_fuel,mountain_coal,mountain_naturalgas,mountain_uranium,pacific_coal,pacific_naturalgas,pacific_uranium
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
0.0,4.6746,11.4989,2.1155,4.8794,12.0449,2.1155
