Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
94,1,0,1,0.539468288,0,1,0.40594548,1,1,1
95,1,0,1,0.761301816,0,1,0.336297512,1,1,1
96,1,0,1,0.77053988,0,1,0.482383013,1,1,1
97,1,0,1,0.765681326,0,1,0.561157286,1,1,1
98,1,0,1,0.689875782,0,1,0.704871058,1,1,1
99,1,0,1,0.529498637,0,1,0.602511942,1,1,1
100,1,0,1,0.580190957,0,1,0.554192066,1,1,1
101,1,0,1,0.613375008,0,1,0.651665986,1,1,1
102,1,0,1,0.588745177,0,1,0.65617907,1,1,1
103,1,0.0286,1,0.503842175,0.0513,1,0.77371943,1,1,1
104,1,0.2183,1,0.38166672,0.2474,1,0.542231381,1,1,1
105,1,0.4125,1,0.330908597,0.4512,1,0.767145455,1,1,1
106,1,0.5743,1,0.619092941,0.5922,1,0.630357862,1,1,1
107,1,0.6483,1,0.640754819,0.6807,1,0.719267488,1,1,1
108,1,0.57,1,0.944844961,0.6337,1,0.721993327,1,1,1
109,1,0.5345,1,0.919333339,0.5902,1,0.930405378,1,1,1
110,1,0.5196,1,0.918631434,0.5627,1,0.88214618,1,1,1
111,1,0.5001,1,0.949620664,0.5506,1,0.863196373,1,1,1
112,1,0.4166,1,0.996285558,0.4728,1,0.871315539,1,1,1
113,1,0.294,1,0.992717087,0.3509,1,0.887241125,1,1,1
114,1,0.1039,1,0.895395994,0.1568,1,0.902917147,1,1,1
115,1,0,1,0.698809862,0,1,0.925229728,1,1,1
116,1,0,1,0.835425735,0,1,0.771767735,1,1,1
117,1,0,1,0.846116006,0,1,0.856599987,1,1,1
118,1,0,1,0.754273534,0,1,0.89560008,1,1,1
119,1,0,1,0.481987864,0,1,0.941317439,1,1,1
120,1,0,1,0.452115178,0,1,0.944236398,1,1,1
