commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,11.532692562678356
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,12.487701914227411
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,244.54107569581817
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,0.0
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,0.0
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,0.0
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,capacity,5494.406081417904
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,capacity,3999.981043712923
Electricity,capacity,elec_MA,storage_MA,storage_MA_discharge_edge,Battery,capacity,5285.490041383397
Electricity,capacity,elec_CT,storage_CT,storage_CT_discharge_edge,Battery,capacity,9142.576412976783
Electricity,capacity,elec_ME,storage_ME,storage_ME_discharge_edge,Battery,capacity,5449.435458534951
Electricity,capacity,elec_MA,ng_MA,ng_MA_elec_edge,ThermalPower{NaturalGas},capacity,1936.2852044151757
Electricity,capacity,elec_CT,ng_CT,ng_CT_elec_edge,ThermalPower{NaturalGas},capacity,22.880836426159178
Electricity,capacity,elec_ME,ng_ME,ng_ME_elec_edge,ThermalPower{NaturalGas},capacity,7.701759595421964
Electricity,capacity,elec_MA,solar_pv_MA,solar_pv_MA_edge,VRE,capacity,2.6770487602764526
Electricity,capacity,elec_CT,solar_pv_CT,solar_pv_CT_edge,VRE,capacity,2.2707395614058354
Electricity,capacity,elec_CT,onshore_wind_CT,onshore_wind_CT_edge,VRE,capacity,16754.833495626917
Electricity,capacity,elec_ME,onshore_wind_ME,onshore_wind_ME_edge,VRE,capacity,11192.744027645784
